cache_lines,MRC
256,0.0697018
512,0.0635491
768,0.0542217
1024,0.0488408
1280,0.0454205
1536,0.0434774
1792,0.0420966
2048,0.0410732
2304,0.0402863
2560,0.0396471
2816,0.0391264
3072,0.0386909
3328,0.0383241
3584,0.0380051
3840,0.0377216
4096,0.0374674
4352,0.0372175
4608,0.0369682
4864,0.0367331
5120,0.0364931
5376,0.0362764
5632,0.0360571
5888,0.0358104
6144,0.0355737
6400,0.0353373
6656,0.0350895
6912,0.0348547
7168,0.0346133
7424,0.0343707
7680,0.0341271
7936,0.0338895
8192,0.0336483
8448,0.0334079
8704,0.0331783
8960,0.0329555
9216,0.0327357
9472,0.0325267
9728,0.0323236
9984,0.0320926
10240,0.0319005
10496,0.0317138
10752,0.031535
11008,0.0313702
11264,0.0311999
11520,0.0310344
11776,0.0308781
12032,0.0307259
12288,0.030568
12544,0.0304254
12800,0.030279
13056,0.0301305
13312,0.0299908
13568,0.029858
13824,0.0297255
14080,0.0295876
14336,0.0294622
14592,0.0293343
14848,0.0292065
15104,0.0290837
15360,0.0289582
15616,0.0288371
15872,0.0287118
16128,0.0285974
16384,0.0284771
16640,0.0283539
16896,0.0282376
17152,0.0281168
17408,0.0279981
17664,0.0278762
17920,0.0277613
18176,0.0276415
18432,0.0275277
18688,0.0274115
18944,0.0273012
19200,0.0271847
19456,0.0270679
19712,0.0269485
19968,0.026837
20224,0.0267174
20480,0.0266008
20736,0.0264839
20992,0.0263699
21248,0.0262526
21504,0.0261376
21760,0.026021
22016,0.025896
22272,0.0257788
22528,0.0256624
22784,0.0255425
23040,0.0254176
23296,0.0252993
23552,0.0251823
23808,0.0250649
24064,0.0249493
24320,0.0248271
24576,0.0247096
24832,0.024586
25088,0.0244705
25344,0.0243514
25600,0.0242307
25856,0.0241093
26112,0.023981
26368,0.0238622
26624,0.0237368
26880,0.0236113
27136,0.0234835
27392,0.0233474
27648,0.0232289
27904,0.0231025
28160,0.0229729
28416,0.0228426
28672,0.0227141
28928,0.0225828
29184,0.0224662
29440,0.0223321
29696,0.0222027
29952,0.0220722
30208,0.0219479
30464,0.0218115
30720,0.0216726
30976,0.0215358
31232,0.0214079
31488,0.0212789
31744,0.0211501
32000,0.0210219
32256,0.0208889
32512,0.0207567
32768,0.0206163
33024,0.0204834
33280,0.0203494
33536,0.0202204
33792,0.0200891
34048,0.0199508
34304,0.0198177
34560,0.0196897
34816,0.0195605
35072,0.0194327
35328,0.0192963
35584,0.0191528
35840,0.0190162
36096,0.0188837
36352,0.0187426
36608,0.0186181
36864,0.0184856
37120,0.0183482
37376,0.0182132
37632,0.0180745
37888,0.0179366
38144,0.0178024
38400,0.0176692
38656,0.017537
38912,0.0174036
39168,0.0172704
39424,0.0171392
39680,0.0170152
39936,0.016886
40192,0.0167571
40448,0.0166255
40704,0.0164946
40960,0.0163662
41216,0.0162385
41472,0.0161149
41728,0.0159924
41984,0.0158727
42240,0.0157464
42496,0.0156233
42752,0.0155085
43008,0.01541
43264,0.0153074
43520,0.0152068
43776,0.0151055
44032,0.0150075
44288,0.0149118
44544,0.0148159
44800,0.0147196
45056,0.0146222
45312,0.0145268
45568,0.014434
45824,0.0143389
46080,0.0142405
46336,0.0141514
46592,0.0140584
46848,0.0139599
47104,0.0138693
47360,0.0137778
47616,0.013683
47872,0.013596
48128,0.0134999
48384,0.0134053
48640,0.0133121
48896,0.0132217
49152,0.0131362
49408,0.0130503
49664,0.0129638
49920,0.0128773
50176,0.0127886
50432,0.0127055
50688,0.0126166
50944,0.0125368
51200,0.0124485
51456,0.0123639
51712,0.0122794
51968,0.0121983
52224,0.0121121
52480,0.0120286
52736,0.0119493
52992,0.0118664
53248,0.0117791
53504,0.0116978
53760,0.0116105
54016,0.011529
54272,0.0114478
54528,0.0113713
54784,0.0112894
55040,0.0112098
55296,0.0111295
55552,0.0110574
55808,0.0109815
56064,0.0109089
56320,0.0108369
56576,0.0107605
56832,0.0106867
57088,0.0106133
57344,0.0105413
57600,0.0104737
57856,0.0104023
58112,0.010334
58368,0.0102642
58624,0.0101936
58880,0.0101267
59136,0.0100557
59392,0.00998703
59648,0.00992119
59904,0.00985583
60160,0.0097927
60416,0.00972678
60672,0.00966291
60928,0.00959519
61184,0.0095353
61440,0.00947465
61696,0.00941484
61952,0.0093597
62208,0.0092858
62464,0.00923831
62720,0.00919261
62976,0.0091398
63232,0.00909074
63488,0.0090461
63744,0.00900006
64000,0.00895012
64256,0.00890082
64512,0.0088531
64768,0.00880913
65024,0.00876287
65280,0.00871802
65536,0.00867564
65792,0.00863508
66048,0.00859453
66304,0.00855248
66560,0.0085066
66816,0.00846081
67072,0.00841882
67328,0.00838152
67584,0.00833907
67840,0.00829931
68096,0.00826163
68352,0.00822032
68608,0.00818171
68864,0.00814068
69120,0.00810171
69376,0.00806232
69632,0.00802492
69888,0.00798906
70144,0.0079553
70400,0.00791993
70656,0.00788675
70912,0.00785511
71168,0.00782095
71424,0.00778783
71680,0.00775647
71936,0.00772238
72192,0.00769284
72448,0.00766195
72704,0.00763194
72960,0.00760112
73216,0.00756834
73472,0.00753707
73728,0.00750485
73984,0.00747359
74240,0.00744346
74496,0.00741532
74752,0.00738809
75008,0.00736148
75264,0.00733301
75520,0.00730455
75776,0.00727728
76032,0.00725331
76288,0.00722609
76544,0.0071984
76800,0.0071696
77056,0.00714461
77312,0.00712108
77568,0.00709543
77824,0.00707086
78080,0.00704427
78336,0.00701679
78592,0.00699462
78848,0.00697159
79104,0.00694743
79360,0.00692363
79616,0.0068989
79872,0.00687575
80128,0.00685115
80384,0.00682856
80640,0.00680597
80896,0.00678467
81152,0.00676305
81408,0.00674235
81664,0.00672181
81920,0.0067015
82176,0.00667909
82432,0.00665718
82688,0.00663804
82944,0.00661653
83200,0.00659812
83456,0.0065777
83712,0.00655767
83968,0.00653787
84224,0.0065177
84480,0.00649751
84736,0.00647817
84992,0.00645877
85248,0.00643898
85504,0.00641952
85760,0.00640047
86016,0.00638236
86272,0.00636352
86528,0.0063432
86784,0.00632322
87040,0.00630478
87296,0.00628418
87552,0.00626424
87808,0.0062449
88064,0.00622392
88320,0.00620509
88576,0.00618637
88832,0.00617
89088,0.0061529
89344,0.00613445
89600,0.00611705
89856,0.00610052
90112,0.00608491
90368,0.0060648
90624,0.00604688
90880,0.00602868
91136,0.00601164
91392,0.00599365
91648,0.0059763
91904,0.00595593
92160,0.00594087
92416,0.00592461
92672,0.00590724
92928,0.00588902
93184,0.00587083
93440,0.00585271
93696,0.00583614
93952,0.00581793
94208,0.00580261
94464,0.00578563
94720,0.00576952
94976,0.00575173
95232,0.00573156
95488,0.00571253
95744,0.00569212
96000,0.00567282
96256,0.00565287
96512,0.00563293
96768,0.00561034
97024,0.00558822
97280,0.00556572
97536,0.00554422
97792,0.00552516
98048,0.00550543
98304,0.00548541
98560,0.00546771
98816,0.00544748
99072,0.00542701
99328,0.00540747
99584,0.00538902
99840,0.00537126
100096,0.00535305
100352,0.0053307
100608,0.00531048
100864,0.00529209
101120,0.00527365
101376,0.00525774
101632,0.00523839
101888,0.00522173
102144,0.00520376
102400,0.0051855
102656,0.00516754
102912,0.00515126
103168,0.00513408
103424,0.00511683
103680,0.00509824
103936,0.00508102
104192,0.00506491
104448,0.00505027
104704,0.00503499
104960,0.00502032
105216,0.00500516
105472,0.00499051
105728,0.00497382
105984,0.004958
106240,0.00493915
106496,0.00492063
106752,0.00490373
107008,0.00488905
107264,0.00487326
107520,0.00485803
107776,0.00484185
108032,0.00482704
108288,0.00480964
108544,0.00479368
108800,0.00477882
109056,0.00476446
109312,0.00475014
109568,0.00473631
109824,0.0047201
110080,0.00470714
110336,0.00469297
110592,0.00467715
110848,0.00466348
111104,0.00464855
111360,0.00463411
111616,0.00462198
111872,0.00460801
112128,0.00459194
112384,0.00457622
112640,0.00456138
112896,0.00454671
113152,0.00453507
113408,0.00452114
113664,0.00450601
113920,0.00449142
114176,0.0044779
114432,0.00446296
114688,0.00444946
114944,0.00443533
115200,0.00442183
115456,0.00440726
115712,0.00439367
115968,0.00438069
116224,0.00436827
116480,0.00435374
116736,0.00433732
116992,0.00432119
117248,0.00430641
117504,0.00429071
117760,0.00427758
118016,0.00426383
118272,0.00425016
118528,0.00423639
118784,0.0042225
119040,0.00420861
119296,0.00419584
119552,0.00418298
119808,0.00417109
120064,0.00415762
120320,0.00414484
120576,0.00413261
120832,0.00411855
121088,0.00410603
121344,0.0040936
121600,0.0040823
121856,0.00407014
122112,0.00405705
122368,0.00404611
122624,0.00403632
122880,0.00402653
123136,0.00401541
123392,0.00400396
123648,0.00399358
123904,0.00398474
124160,0.00397545
124416,0.00396613
124672,0.00395625
124928,0.00394677
125184,0.00393675
125440,0.00392658
125696,0.00391588
