cache_lines,MRC
256,0.0773232
512,0.0701819
768,0.058886
1024,0.0527326
1280,0.0496292
1536,0.0477101
1792,0.0463235
2048,0.0452606
2304,0.0444144
2560,0.0437465
2816,0.0431938
3072,0.0427367
3328,0.0423467
3584,0.0420018
3840,0.0416817
4096,0.0413711
4352,0.0410842
4608,0.0407985
4864,0.0405173
5120,0.0402383
5376,0.0399491
5632,0.0396666
5888,0.039386
6144,0.0391088
6400,0.0388394
6656,0.038582
6912,0.038308
7168,0.0380351
7424,0.037774
7680,0.0375198
7936,0.0372613
8192,0.0370133
8448,0.0367703
8704,0.0365358
8960,0.0363184
9216,0.036068
9472,0.035866
9728,0.035673
9984,0.0354756
10240,0.0352879
10496,0.0351047
10752,0.0349411
11008,0.0347741
11264,0.0346088
11520,0.0344583
11776,0.0343084
12032,0.03416
12288,0.0340279
12544,0.0338884
12800,0.0337518
13056,0.0336271
13312,0.0334983
13568,0.0333671
13824,0.0332423
14080,0.0331276
14336,0.0330074
14592,0.0328989
14848,0.0327779
15104,0.0326605
15360,0.0325344
15616,0.0324144
15872,0.0322891
16128,0.0321802
16384,0.0320645
16640,0.0319522
16896,0.0318499
17152,0.0317443
17408,0.0316327
17664,0.0315248
17920,0.0314075
18176,0.0312945
18432,0.0311844
18688,0.0310689
18944,0.0309551
19200,0.0308414
19456,0.0307264
19712,0.0306167
19968,0.0305081
20224,0.030397
20480,0.0302876
20736,0.0301763
20992,0.0300638
21248,0.0299487
21504,0.0298402
21760,0.0297264
22016,0.0296146
22272,0.0295007
22528,0.0293834
22784,0.0292671
23040,0.0291518
23296,0.0290363
23552,0.0289217
23808,0.0288029
24064,0.0287004
24320,0.0285852
24576,0.0284665
24832,0.0283512
25088,0.028242
25344,0.028129
25600,0.028005
25856,0.0278884
26112,0.0277783
26368,0.027655
26624,0.0275349
26880,0.0274189
27136,0.0272904
27392,0.0271733
27648,0.0270539
27904,0.0269326
28160,0.0268023
28416,0.0266787
28672,0.0265476
28928,0.0264249
29184,0.0263031
29440,0.026176
29696,0.0260494
29952,0.0259336
30208,0.0258106
30464,0.0256873
30720,0.0255574
30976,0.0254306
31232,0.0253096
31488,0.025182
31744,0.0250493
32000,0.024921
32256,0.0247918
32512,0.0246693
32768,0.0245354
33024,0.0244127
33280,0.0242756
33536,0.0241346
33792,0.0240077
34048,0.0238846
34304,0.0237605
34560,0.0236264
34816,0.0234956
35072,0.0233662
35328,0.0232333
35584,0.0231138
35840,0.0229841
36096,0.0228612
36352,0.0227271
36608,0.022594
36864,0.0224612
37120,0.0223258
37376,0.0221916
37632,0.0220634
37888,0.0219247
38144,0.0217968
38400,0.0216609
38656,0.0215392
38912,0.0214081
39168,0.0212661
39424,0.0211267
39680,0.0209938
39936,0.0208565
40192,0.0207184
40448,0.0205855
40704,0.0204541
40960,0.0203193
41216,0.0201906
41472,0.0200574
41728,0.0199255
41984,0.0197933
42240,0.0196613
42496,0.0195304
42752,0.0194017
43008,0.019271
43264,0.0191474
43520,0.0190252
43776,0.0188935
44032,0.0187694
44288,0.0186411
44544,0.0185198
44800,0.0183996
45056,0.0183002
45312,0.0182019
45568,0.0181008
45824,0.0179975
46080,0.0178983
46336,0.017796
46592,0.0176928
46848,0.0175931
47104,0.0174882
47360,0.0173821
47616,0.0172752
47872,0.0171761
48128,0.0170799
48384,0.0169856
48640,0.0168852
48896,0.0167892
49152,0.0166845
49408,0.0165924
49664,0.0165006
49920,0.0164124
50176,0.0163162
50432,0.0162227
50688,0.0161173
50944,0.0160285
51200,0.015933
51456,0.0158422
51712,0.0157573
51968,0.01567
52224,0.0155732
52480,0.0154857
52736,0.015398
52992,0.0153057
53248,0.015225
53504,0.0151399
53760,0.0150461
54016,0.0149612
54272,0.0148783
54528,0.0147916
54784,0.0147116
55040,0.014628
55296,0.014544
55552,0.014458
55808,0.0143699
56064,0.0142784
56320,0.0141882
56576,0.0141022
56832,0.0140184
57088,0.013938
57344,0.0138566
57600,0.0137794
57856,0.0136998
58112,0.0136135
58368,0.0135325
58624,0.0134506
58880,0.0133705
59136,0.0132987
59392,0.0132186
59648,0.0131404
59904,0.0130629
60160,0.0129906
60416,0.0129115
60672,0.0128312
60928,0.0127537
61184,0.0126783
61440,0.0126019
61696,0.0125294
61952,0.0124485
62208,0.0123821
62464,0.0123085
62720,0.0122382
62976,0.0121706
63232,0.012096
63488,0.0120249
63744,0.011955
64000,0.0118861
64256,0.0118155
64512,0.0117463
64768,0.0116756
65024,0.0116114
65280,0.0115445
65536,0.0114751
65792,0.0113995
66048,0.0113325
66304,0.0112783
66560,0.0112273
66816,0.0111703
67072,0.0111168
67328,0.0110634
67584,0.0110114
67840,0.0109556
68096,0.0109
68352,0.0108469
68608,0.0107921
68864,0.0107397
69120,0.0106875
69376,0.0106354
69632,0.0105857
69888,0.0105379
70144,0.0104918
70400,0.0104445
70656,0.0103951
70912,0.0103509
71168,0.0103027
71424,0.0102601
71680,0.0102155
71936,0.0101721
72192,0.0101272
72448,0.0100841
72704,0.01004
72960,0.00999612
73216,0.00995374
73472,0.00991213
73728,0.00987076
73984,0.0098286
74240,0.00978623
74496,0.009746
74752,0.00970439
75008,0.00966342
75264,0.00962462
75520,0.00958452
75776,0.00954444
76032,0.00950752
76288,0.00947035
76544,0.00943154
76800,0.00939465
77056,0.00935688
77312,0.00932205
77568,0.00928516
77824,0.00924829
78080,0.00921079
78336,0.00917254
78592,0.0091373
78848,0.00909803
79104,0.00906249
79360,0.00902443
79616,0.00899036
79872,0.00895422
80128,0.00891671
80384,0.00888262
80640,0.00884912
80896,0.00881909
81152,0.0087864
81408,0.008751
81664,0.00871767
81920,0.00868562
82176,0.00865424
82432,0.00862332
82688,0.00859297
82944,0.00856351
83200,0.00853328
83456,0.00850568
83712,0.00847841
83968,0.00845279
84224,0.00842179
84480,0.00839333
84736,0.00836366
84992,0.00833308
85248,0.0083049
85504,0.00827529
85760,0.00824679
86016,0.00821845
86272,0.00819077
86528,0.00816429
86784,0.00813629
87040,0.00810739
87296,0.0080798
87552,0.00805341
87808,0.00802694
88064,0.00799895
88320,0.00796971
88576,0.00793965
88832,0.00790896
89088,0.00788106
89344,0.00785506
89600,0.00782869
89856,0.00780325
90112,0.00777645
90368,0.00775263
90624,0.00772761
90880,0.00770327
91136,0.00767981
91392,0.00765357
91648,0.00762713
91904,0.00760123
92160,0.00757486
92416,0.00754775
92672,0.00752373
92928,0.00749789
93184,0.00747277
93440,0.00744831
93696,0.00742392
93952,0.0073992
94208,0.00737314
94464,0.00735341
94720,0.00732953
94976,0.0073049
95232,0.0072805
95488,0.00725391
95744,0.00722758
96000,0.00720297
96256,0.00717697
96512,0.00715078
96768,0.00712605
97024,0.00710261
97280,0.00707502
97536,0.00704607
97792,0.00701964
98048,0.0069944
98304,0.00696292
98560,0.00693645
98816,0.00690722
99072,0.00687566
99328,0.00684817
99584,0.00681669
99840,0.0067901
100096,0.00676207
100352,0.00673328
100608,0.00670459
100864,0.00668038
101120,0.00665879
101376,0.00663288
101632,0.00660817
101888,0.00658198
102144,0.00655578
102400,0.00652985
102656,0.00650499
102912,0.00647875
103168,0.00645421
103424,0.00643041
103680,0.00640341
103936,0.00637854
104192,0.00635359
104448,0.00632992
104704,0.00630495
104960,0.00628059
105216,0.00625743
105472,0.00623521
105728,0.00621558
105984,0.00619549
106240,0.00617525
106496,0.00615601
106752,0.00613435
107008,0.00611116
107264,0.0060906
107520,0.00607165
107776,0.00605008
108032,0.00602831
108288,0.00600675
108544,0.00598341
108800,0.00596163
109056,0.00594002
109312,0.00591864
109568,0.00590047
109824,0.00588017
110080,0.0058595
110336,0.00584105
110592,0.00582091
110848,0.00580108
111104,0.00578089
111360,0.00576204
111616,0.00574009
111872,0.00572
112128,0.00570054
112384,0.00568204
112640,0.00566141
112896,0.00564401
113152,0.00562508
113408,0.00560346
113664,0.00558459
113920,0.00556666
114176,0.00554584
114432,0.00552392
114688,0.00550502
114944,0.00548409
115200,0.00546363
115456,0.00544352
115712,0.00542326
115968,0.00540593
116224,0.00538878
116480,0.00537146
116736,0.0053518
116992,0.00533431
117248,0.00531242
117504,0.00529414
117760,0.00527375
118016,0.00525205
118272,0.00523449
118528,0.00521756
118784,0.00519962
119040,0.0051817
119296,0.00516724
119552,0.00515017
119808,0.00513362
120064,0.00511702
120320,0.0050997
120576,0.00508336
120832,0.00506713
121088,0.0050507
121344,0.00503281
121600,0.00501659
121856,0.00500149
122112,0.00498434
122368,0.00496513
122624,0.00494602
122880,0.00492891
123136,0.00491224
123392,0.00489421
123648,0.00487806
123904,0.00486383
124160,0.00484978
124416,0.00483447
124672,0.00481835
124928,0.00480169
125184,0.00478999
125440,0.00477659
125696,0.00476279
125952,0.00474909
126208,0.00473517
126464,0.00472448
126720,0.00471053
126976,0.00469884
127232,0.00468695
127488,0.00467477
127744,0.00466326
128000,0.00465266
128256,0.00464096
128512,0.00462886
128768,0.00461721
129024,0.00460652
129280,0.00459626
129536,0.0045848
129792,0.00457465
130048,0.0045653
130304,0.00455303
130560,0.00454153
130816,0.00453273
131072,0.00452263
131328,0.00451093
131584,0.00449934
131840,0.00448804
132096,0.00447733
132352,0.00446722
132608,0.00445697
132864,0.00444708
133120,0.00443777
133376,0.00442663
133632,0.00441695
133888,0.00440829
134144,0.00439902
134400,0.00439153
134656,0.00438218
134912,0.00437363
135168,0.00436484
135424,0.00435673
135680,0.00434777
135936,0.00433856
136192,0.00432837
136448,0.00431769
136704,0.00430891
136960,0.0043008
137216,0.00429313
137472,0.00428425
137728,0.0042757
137984,0.00426451
138240,0.00425489
138496,0.00424623
138752,0.00423635
139008,0.00422719
139264,0.00421832
139520,0.0042083
139776,0.00419845
140032,0.00418857
140288,0.00418003
140544,0.00416773
140800,0.0041569
141056,0.00414593
141312,0.00413769
141568,0.00412813
141824,0.00411823
142080,0.00410723
142336,0.00409708
142592,0.00408672
142848,0.00407655
143104,0.0040674
143360,0.00405807
143616,0.00404905
143872,0.00404087
144128,0.00403085
144384,0.00402081
144640,0.00401391
144896,0.00400742
145152,0.00399815
145408,0.00398846
145664,0.00397998
145920,0.00397191
146176,0.00396397
146432,0.00395658
146688,0.00394761
146944,0.00393933
147200,0.00393015
147456,0.00391979
147712,0.00391185
147968,0.00390266
148224,0.0038951
148480,0.00388643
148736,0.00387978
148992,0.00387201
149248,0.00386277
149504,0.00385389
149760,0.00384642
150016,0.00383822
150272,0.00382912
150528,0.0038204
150784,0.00381281
151040,0.00380361
151296,0.00379647
151552,0.00378957
151808,0.003781
152064,0.00377234
152320,0.00376405
152576,0.0037566
152832,0.00374728
153088,0.00373755
153344,0.00372945
153600,0.00372167
153856,0.00371342
154112,0.00370502
154368,0.00369779
154624,0.00369115
154880,0.00368255
155136,0.00367451
155392,0.00366571
155648,0.00365923
155904,0.00365089
156160,0.00364338
156416,0.00363655
156672,0.00362936
156928,0.00362305
157184,0.00361519
157440,0.00360692
157696,0.00359929
157952,0.00359214
158208,0.00358565
158464,0.00357901
158720,0.00357005
158976,0.00356331
159232,0.00355619
159488,0.0035496
159744,0.00354404
160000,0.00353729
160256,0.00353058
160512,0.00352406
160768,0.00351606
161024,0.00350851
161280,0.00350165
161536,0.00349236
161792,0.00348385
162048,0.00347622
162304,0.00346849
162560,0.00346141
162816,0.00345443
163072,0.00344686
163328,0.00343932
