cache_lines,MRC
256,0.0985457
512,0.0861189
768,0.0750617
1024,0.0685973
1280,0.0649986
1536,0.062478
1792,0.0605896
2048,0.0591527
2304,0.0580476
2560,0.0571222
2816,0.0563842
3072,0.0557659
3328,0.0552354
3584,0.0547326
3840,0.0542769
4096,0.0538445
4352,0.0534267
4608,0.0530274
4864,0.0526179
5120,0.0522091
5376,0.0518032
5632,0.0514106
5888,0.0510175
6144,0.0506357
6400,0.0502425
6656,0.0498551
6912,0.0494756
7168,0.0491114
7424,0.0487497
7680,0.0484141
7936,0.0480852
8192,0.0477778
8448,0.0474354
8704,0.0471565
8960,0.0468816
9216,0.0466248
9472,0.0463729
9728,0.0461337
9984,0.0458996
10240,0.0456691
10496,0.0454418
10752,0.0452395
11008,0.0450295
11264,0.0448342
11520,0.0446274
11776,0.0444379
12032,0.0442431
12288,0.0440602
12544,0.0438839
12800,0.0437046
13056,0.0435348
13312,0.0433533
13568,0.0431873
13824,0.0430249
14080,0.0428624
14336,0.0426993
14592,0.0425331
14848,0.0423669
15104,0.0422101
15360,0.0420573
15616,0.041912
15872,0.0417648
16128,0.0416048
16384,0.0414556
16640,0.0413034
16896,0.0411463
17152,0.0409917
17408,0.0408431
17664,0.040691
17920,0.0405349
18176,0.0403789
18432,0.0402236
18688,0.0400706
18944,0.0399089
19200,0.0397436
19456,0.0395836
19712,0.0394166
19968,0.0392647
20224,0.0391166
20480,0.0389537
20736,0.0387887
20992,0.0386342
21248,0.0384699
21504,0.0383056
21760,0.0381461
22016,0.0379695
22272,0.0378081
22528,0.0376447
22784,0.037484
23040,0.0373135
23296,0.0371419
23552,0.0369664
23808,0.0367919
24064,0.0366315
24320,0.0364751
24576,0.0363077
24832,0.0361432
25088,0.0359786
25344,0.0358086
25600,0.0356334
25856,0.0354672
26112,0.0352908
26368,0.0351103
26624,0.0349261
26880,0.0347383
27136,0.0345658
27392,0.0343867
27648,0.0342159
27904,0.034044
28160,0.0338736
28416,0.0336983
28672,0.0335217
28928,0.0333339
29184,0.0331464
29440,0.0329629
29696,0.0327835
29952,0.0326017
30208,0.0324167
30464,0.0322412
30720,0.032064
30976,0.0318775
31232,0.0316972
31488,0.0315099
31744,0.031317
32000,0.0311246
32256,0.0309503
32512,0.030761
32768,0.0305759
33024,0.0303926
33280,0.0302023
33536,0.0300101
33792,0.0298075
34048,0.0296173
34304,0.0294347
34560,0.0292509
34816,0.0290595
35072,0.028879
35328,0.0287019
35584,0.0285216
35840,0.0283418
36096,0.0281709
36352,0.02799
36608,0.0278154
36864,0.0276367
37120,0.0274515
37376,0.0272837
37632,0.0271031
37888,0.0269333
38144,0.0267721
38400,0.0266195
38656,0.0264712
38912,0.0263179
39168,0.0261744
39424,0.0260283
39680,0.0258873
39936,0.0257415
40192,0.0256044
40448,0.0254589
40704,0.0253193
40960,0.0251827
41216,0.025033
41472,0.0248988
41728,0.0247637
41984,0.0246157
42240,0.0244827
42496,0.0243524
42752,0.0242118
43008,0.0240766
43264,0.0239386
43520,0.0238043
43776,0.0236721
44032,0.0235382
44288,0.0234073
44544,0.0232728
44800,0.0231494
45056,0.0230336
45312,0.0229087
45568,0.0227773
45824,0.0226578
46080,0.0225267
46336,0.0224102
46592,0.0222848
46848,0.0221632
47104,0.0220492
47360,0.0219305
47616,0.0218059
47872,0.0216813
48128,0.0215648
48384,0.0214435
48640,0.0213167
48896,0.0211884
49152,0.0210575
49408,0.0209358
49664,0.0208192
49920,0.0207057
50176,0.0205879
50432,0.0204771
50688,0.0203622
50944,0.0202467
51200,0.020135
51456,0.020021
51712,0.0199144
51968,0.0198026
52224,0.0196902
52480,0.0195873
52736,0.0194826
52992,0.0193674
53248,0.0192597
53504,0.019159
53760,0.0190572
54016,0.0189612
54272,0.0188587
54528,0.0187503
54784,0.0186471
55040,0.0185427
55296,0.0184349
55552,0.0183282
55808,0.0182226
56064,0.0181281
56320,0.018037
56576,0.017931
56832,0.0178309
57088,0.0177296
57344,0.0176329
57600,0.0175437
57856,0.0174531
58112,0.0173389
58368,0.0172599
