cache_lines,MRC
256,0.0429932
512,0.0405059
768,0.0358122
1024,0.031927
1280,0.0294619
1536,0.027836
1792,0.0269066
2048,0.0262502
2304,0.02575
2560,0.0253687
2816,0.0250596
3072,0.0247859
3328,0.0245508
3584,0.0243462
3840,0.0241741
4096,0.0240108
4352,0.02387
4608,0.0237319
4864,0.0236049
5120,0.0234816
5376,0.0233602
5632,0.02324
5888,0.0231226
6144,0.0230077
6400,0.0228925
6656,0.0227747
6912,0.0226603
7168,0.0225218
7424,0.0223829
7680,0.0222438
7936,0.0221021
8192,0.0219581
8448,0.0218187
8704,0.0216788
8960,0.0215433
9216,0.0214018
9472,0.0212644
9728,0.021115
9984,0.0209725
10240,0.0208273
10496,0.0206823
10752,0.0205438
11008,0.020408
11264,0.0202767
11520,0.0201465
11776,0.020016
12032,0.019881
12288,0.0196936
12544,0.0195733
12800,0.0194411
13056,0.0193221
13312,0.0192032
13568,0.0190922
13824,0.0189764
14080,0.0188631
14336,0.0187487
14592,0.0186416
14848,0.0185355
15104,0.0184253
15360,0.0183193
15616,0.0182249
15872,0.0181242
16128,0.0180208
16384,0.0179275
16640,0.0178285
16896,0.0177241
17152,0.017632
17408,0.0175283
17664,0.0174386
17920,0.0173431
18176,0.0172531
18432,0.017158
18688,0.017071
18944,0.0169748
19200,0.0168896
19456,0.0167953
19712,0.0166968
19968,0.0166101
20224,0.0165178
20480,0.0164256
20736,0.016339
20992,0.0162514
21248,0.0161538
21504,0.0160679
21760,0.0159755
22016,0.0158922
22272,0.0158069
22528,0.0157168
22784,0.015626
23040,0.0155443
23296,0.015458
23552,0.0153732
23808,0.0152868
24064,0.0151918
24320,0.0151001
24576,0.0150123
24832,0.0149193
25088,0.0148244
25344,0.014733
25600,0.0146491
25856,0.0145576
26112,0.0144684
26368,0.0143765
26624,0.0142846
26880,0.0141931
27136,0.0141111
27392,0.0140157
27648,0.0139218
27904,0.013834
28160,0.0137466
28416,0.0136593
28672,0.013571
28928,0.0134828
29184,0.013391
29440,0.0132961
29696,0.0132046
29952,0.0131202
