cache_lines,MRC
256,0.0941602
512,0.0937204
768,0.0934915
1024,0.0931597
1280,0.0930327
1536,0.0904298
1792,0.0892592
2048,0.0891422
2304,0.0891202
2560,0.0891024
2816,0.0890882
3072,0.0890705
3328,0.0888489
3584,0.08884
3840,0.0888296
4096,0.0888206
4352,0.0888146
4608,0.0888073
4864,0.0888009
5120,0.0887975
5376,0.0887935
5632,0.0887883
5888,0.0887835
6144,0.0887808
6400,0.0885857
6656,0.0885821
6912,0.0885799
7168,0.0885761
7424,0.0885707
7680,0.0885653
7936,0.0885621
8192,0.0885604
8448,0.0885583
8704,0.0885565
8960,0.0885541
9216,0.0885521
9472,0.0885363
9728,0.0885278
9984,0.0885183
10240,0.0885098
10496,0.0885071
10752,0.0885053
11008,0.0885037
11264,0.0885025
11520,0.0885009
11776,0.0884993
12032,0.0884984
12288,0.0884976
12544,0.0884965
12800,0.0884957
13056,0.0884948
13312,0.0884938
13568,0.088493
13824,0.0884921
14080,0.0884917
14336,0.0884909
14592,0.0884902
14848,0.0884896
15104,0.088489
15360,0.0884883
15616,0.0884875
15872,0.0884868
16128,0.0884862
16384,0.0884856
16640,0.088485
16896,0.0884847
17152,0.0884841
17408,0.0884835
17664,0.0884829
17920,0.0884826
18176,0.0884822
18432,0.0884818
18688,0.088481
18944,0.0884801
19200,0.0884793
19456,0.0884787
19712,0.0884781
19968,0.0884777
20224,0.088477
20480,0.0884763
20736,0.0884758
20992,0.0884755
21248,0.088475
21504,0.0884746
21760,0.0884744
22016,0.0884739
22272,0.0884737
22528,0.0884734
22784,0.0884729
23040,0.0884726
23296,0.0884723
23552,0.0884721
23808,0.0884719
24064,0.0884717
24320,0.0884712
24576,0.0884709
24832,0.0884707
25088,0.0884704
25344,0.0884702
25600,0.0884698
25856,0.0884696
26112,0.0884694
26368,0.0884693
26624,0.088469
26880,0.0884688
27136,0.0884685
27392,0.0884681
27648,0.088468
27904,0.0884679
28160,0.0884678
28416,0.088467
28672,0.0884651
28928,0.0884419
29184,0.0884316
29440,0.0884027
29696,0.0884021
