cache_lines,MRC
256,0.121561
512,0.121017
768,0.120742
1024,0.12033
1280,0.120152
1536,0.115438
1792,0.115283
2048,0.115116
2304,0.115071
2560,0.115048
2816,0.11503
3072,0.115008
3328,0.114732
3584,0.11472
3840,0.114708
4096,0.114696
4352,0.114686
4608,0.114674
4864,0.114667
5120,0.11466
5376,0.114655
5632,0.11465
5888,0.114644
6144,0.114636
6400,0.114631
6656,0.114383
6912,0.114378
7168,0.114375
7424,0.114368
7680,0.114361
7936,0.114354
8192,0.114349
8448,0.114347
8704,0.114344
8960,0.114341
9216,0.114338
9472,0.114335
9728,0.114316
9984,0.114306
10240,0.114296
10496,0.114283
10752,0.114277
11008,0.114275
11264,0.114273
11520,0.114272
11776,0.11427
12032,0.114269
12288,0.114267
12544,0.114266
12800,0.114265
13056,0.114264
13312,0.114262
13568,0.114261
13824,0.11426
14080,0.114259
14336,0.114258
14592,0.114257
14848,0.114256
15104,0.114255
15360,0.114254
15616,0.114253
15872,0.114252
16128,0.114251
16384,0.11425
16640,0.11425
16896,0.114249
17152,0.114249
17408,0.114248
17664,0.114247
17920,0.114247
18176,0.114246
18432,0.114245
18688,0.114245
18944,0.114244
19200,0.114243
19456,0.114241
19712,0.114241
19968,0.11424
20224,0.114239
20480,0.114238
20736,0.114237
20992,0.114236
21248,0.114236
21504,0.114235
21760,0.114235
22016,0.114234
22272,0.114233
22528,0.114233
22784,0.114232
23040,0.114232
23296,0.114231
23552,0.114231
23808,0.11423
24064,0.11423
24320,0.11423
24576,0.114229
24832,0.114229
25088,0.114228
25344,0.114228
25600,0.114227
25856,0.114227
26112,0.114226
26368,0.114226
26624,0.114226
26880,0.114225
27136,0.114225
27392,0.114224
27648,0.114224
27904,0.114224
28160,0.114224
28416,0.114223
28672,0.114223
28928,0.114223
29184,0.114222
29440,0.114222
29696,0.11422
29952,0.11422
30208,0.114188
30464,0.114182
30720,0.11414
30976,0.114138
31232,0.114137
31488,0.114137
31744,0.114136
32000,0.114136
32256,0.114136
32512,0.114135
32768,0.114135
33024,0.114135
33280,0.114135
33536,0.114135
33792,0.114134
34048,0.114134
34304,0.114134
34560,0.114134
34816,0.114133
35072,0.114133
35328,0.114133
35584,0.114133
35840,0.114133
36096,0.114133
36352,0.114132
36608,0.114132
36864,0.114132
37120,0.114132
37376,0.114131
37632,0.114131
37888,0.114131
38144,0.11413
38400,0.11413
38656,0.11413
38912,0.11413
39168,0.114129
39424,0.114129
39680,0.114129
39936,0.114128
40192,0.114128
40448,0.114128
40704,0.114127
40960,0.114127
41216,0.114127
41472,0.114126
41728,0.114126
41984,0.114126
42240,0.114126
42496,0.114125
42752,0.114125
43008,0.114125
43264,0.114125
43520,0.114124
43776,0.114124
44032,0.114124
44288,0.114123
44544,0.114123
44800,0.114123
45056,0.114123
45312,0.114122
45568,0.114122
45824,0.114122
46080,0.114122
46336,0.114121
46592,0.114121
46848,0.114121
47104,0.11412
47360,0.11412
47616,0.11412
47872,0.11412
48128,0.11412
48384,0.11412
48640,0.114119
48896,0.114119
49152,0.114119
49408,0.114119
49664,0.114118
49920,0.114118
50176,0.114118
50432,0.114118
50688,0.114117
50944,0.114115
51200,0.114114
51456,0.114114
51712,0.114114
51968,0.114114
52224,0.114113
52480,0.114047
52736,0.114021
52992,0.114021
53248,0.114019
53504,0.114016
53760,0.114016
54016,0.114
54272,0.113869
54528,0.113867
54784,0.113867
55040,0.113866
55296,0.113866
55552,0.113866
55808,0.113866
56064,0.113866
56320,0.113866
56576,0.113865
56832,0.113865
57088,0.113865
57344,0.113865
57600,0.113865
57856,0.113864
58112,0.113864
58368,0.113864
58624,0.113864
58880,0.113864
59136,0.113863
59392,0.113863
59648,0.113863
59904,0.113862
60160,0.113862
60416,0.113861
60672,0.113861
60928,0.113861
61184,0.113861
61440,0.11386
61696,0.11386
61952,0.11386
62208,0.113857
62464,0.113852
62720,0.113846
62976,0.113841
63232,0.113836
63488,0.11383
63744,0.113824
64000,0.113819
64256,0.113813
64512,0.113807
64768,0.113802
65024,0.113797
65280,0.113791
65536,0.113786
65792,0.113778
66048,0.11376
66304,0.113737
66560,0.11373
66816,0.113725
67072,0.113719
67328,0.113713
67584,0.113707
67840,0.113702
68096,0.113696
68352,0.113689
68608,0.113684
68864,0.113678
69120,0.113672
69376,0.113666
69632,0.11366
69888,0.113655
70144,0.11365
70400,0.113644
70656,0.113639
70912,0.113633
71168,0.113628
71424,0.113622
71680,0.113617
71936,0.113611
72192,0.113606
72448,0.1136
72704,0.113595
72960,0.113589
73216,0.113583
73472,0.113578
73728,0.113572
73984,0.113566
74240,0.113561
74496,0.113556
74752,0.11355
75008,0.113545
75264,0.11354
75520,0.113534
75776,0.113529
76032,0.113523
76288,0.113518
76544,0.113512
76800,0.113507
77056,0.113501
77312,0.113496
77568,0.11349
77824,0.113484
78080,0.113478
78336,0.113473
78592,0.113467
78848,0.113461
79104,0.113456
79360,0.113451
79616,0.113446
79872,0.113441
80128,0.113436
80384,0.113431
80640,0.113425
80896,0.113419
81152,0.113413
81408,0.113407
81664,0.1134
81920,0.113395
82176,0.113389
82432,0.113383
82688,0.113378
82944,0.113373
83200,0.113367
83456,0.113362
83712,0.113356
83968,0.113351
84224,0.113346
84480,0.113341
84736,0.113335
84992,0.11333
85248,0.113324
85504,0.11332
85760,0.113313
86016,0.113308
86272,0.113303
86528,0.113297
86784,0.113292
87040,0.113286
87296,0.113281
87552,0.113275
87808,0.11327
88064,0.113264
88320,0.113259
88576,0.113254
88832,0.113249
89088,0.113244
89344,0.113239
89600,0.113233
89856,0.113227
90112,0.113222
90368,0.113216
90624,0.113211
90880,0.113205
91136,0.113153
91392,0.113123
91648,0.113117
91904,0.113112
92160,0.113105
92416,0.111979
92672,0.109316
92928,0.108676
93184,0.108669
93440,0.108663
93696,0.108651
93952,0.108609
94208,0.10858
94464,0.108574
94720,0.108569
94976,0.108563
95232,0.108558
95488,0.108553
95744,0.108547
96000,0.108541
96256,0.108536
96512,0.10853
96768,0.108525
97024,0.10852
97280,0.108514
97536,0.108509
97792,0.108503
98048,0.108498
98304,0.108492
98560,0.108487
98816,0.108482
99072,0.108477
99328,0.108471
99584,0.108466
99840,0.108461
100096,0.108454
100352,0.108449
100608,0.108444
100864,0.108439
101120,0.108433
101376,0.108427
101632,0.108421
101888,0.108416
102144,0.10841
102400,0.108404
102656,0.108399
102912,0.108393
103168,0.108386
103424,0.108381
103680,0.108375
103936,0.10837
104192,0.108365
104448,0.108359
104704,0.108353
104960,0.108348
105216,0.108342
105472,0.108336
105728,0.10833
105984,0.108325
106240,0.108319
106496,0.108314
106752,0.108308
107008,0.108291
107264,0.108255
107520,0.108242
107776,0.108236
108032,0.10823
108288,0.108225
108544,0.108219
108800,0.108214
109056,0.108208
109312,0.108202
109568,0.108197
109824,0.108192
110080,0.108187
110336,0.108181
110592,0.108176
110848,0.10817
111104,0.108164
111360,0.108159
111616,0.108153
111872,0.108147
112128,0.108142
112384,0.108136
112640,0.10813
112896,0.108126
113152,0.10812
113408,0.108115
113664,0.108109
113920,0.108103
114176,0.108097
114432,0.108092
114688,0.108085
114944,0.10808
115200,0.108074
115456,0.108069
115712,0.108063
115968,0.108058
116224,0.108053
116480,0.108048
116736,0.108043
116992,0.108037
117248,0.108032
117504,0.108026
117760,0.108021
118016,0.108016
118272,0.10801
118528,0.108004
118784,0.107999
119040,0.107994
119296,0.107989
119552,0.107983
119808,0.107978
120064,0.107972
120320,0.107967
120576,0.107961
120832,0.107956
121088,0.10795
121344,0.107944
121600,0.107938
121856,0.107932
122112,0.107923
122368,0.107914
122624,0.107903
122880,0.107892
123136,0.107882
123392,0.10787
123648,0.107859
123904,0.107848
124160,0.107837
124416,0.107826
124672,0.107816
124928,0.107805
125184,0.107795
125440,0.107785
125696,0.107774
125952,0.107762
126208,0.10775
126464,0.107739
126720,0.107727
126976,0.107717
127232,0.107706
127488,0.107696
127744,0.107684
128000,0.107672
128256,0.107661
128512,0.10765
128768,0.107639
129024,0.107628
129280,0.107617
129536,0.107607
129792,0.107596
130048,0.107585
130304,0.107574
130560,0.107563
130816,0.107552
131072,0.107541
131328,0.107531
131584,0.10752
131840,0.107509
132096,0.107498
132352,0.107487
132608,0.107476
132864,0.107466
133120,0.107455
133376,0.107444
133632,0.107433
133888,0.107423
134144,0.107412
134400,0.107401
134656,0.10739
134912,0.107378
135168,0.107368
135424,0.107357
135680,0.107346
135936,0.107336
136192,0.107325
136448,0.107314
136704,0.107303
136960,0.107292
137216,0.107281
137472,0.10727
137728,0.107259
137984,0.107248
138240,0.107237
138496,0.107226
138752,0.107215
139008,0.107203
139264,0.107191
139520,0.10718
139776,0.107169
140032,0.107158
140288,0.107147
140544,0.107136
140800,0.107125
141056,0.107113
141312,0.107102
141568,0.107091
141824,0.10708
142080,0.10707
142336,0.107059
142592,0.107049
142848,0.107038
143104,0.107027
143360,0.107016
143616,0.107005
143872,0.106994
144128,0.106983
144384,0.106972
144640,0.10696
144896,0.106949
145152,0.106938
145408,0.106927
145664,0.106915
145920,0.106904
146176,0.106894
146432,0.106883
146688,0.106871
146944,0.10686
147200,0.106848
147456,0.106838
147712,0.106827
147968,0.106816
148224,0.106804
148480,0.106793
148736,0.106782
148992,0.106772
149248,0.106761
149504,0.10675
149760,0.106738
150016,0.106727
150272,0.106715
150528,0.106703
150784,0.106693
151040,0.106682
151296,0.106671
151552,0.10666
151808,0.106649
152064,0.106638
152320,0.106627
152576,0.106616
152832,0.106604
153088,0.106593
153344,0.106582
153600,0.106571
153856,0.106559
154112,0.106549
154368,0.106538
154624,0.106528
154880,0.106517
155136,0.106507
155392,0.106495
155648,0.106483
155904,0.106472
156160,0.106461
156416,0.10645
156672,0.106439
156928,0.106428
157184,0.106417
157440,0.106406
157696,0.106395
157952,0.106384
158208,0.106373
158464,0.106362
158720,0.106351
158976,0.10634
159232,0.106329
159488,0.106318
159744,0.106307
160000,0.106295
160256,0.106284
160512,0.106273
160768,0.106262
161024,0.10625
161280,0.106238
161536,0.106227
161792,0.106217
162048,0.106206
162304,0.106195
162560,0.106184
162816,0.106173
163072,0.106162
163328,0.106151
163584,0.10614
163840,0.106129
164096,0.106119
164352,0.106108
164608,0.106097
164864,0.106085
165120,0.106074
165376,0.106063
165632,0.106052
165888,0.106042
166144,0.106031
166400,0.10602
166656,0.106009
166912,0.105998
167168,0.105987
167424,0.105976
167680,0.105965
167936,0.105954
168192,0.105943
168448,0.105931
168704,0.10592
168960,0.105909
169216,0.105898
169472,0.105887
169728,0.105876
169984,0.105865
170240,0.105854
170496,0.105843
170752,0.105833
171008,0.105822
171264,0.105812
171520,0.1058
171776,0.105789
172032,0.105779
172288,0.105767
172544,0.105756
172800,0.105744
173056,0.105732
173312,0.105721
173568,0.10571
173824,0.1057
174080,0.105689
174336,0.105679
174592,0.105668
174848,0.105657
175104,0.105646
175360,0.105635
175616,0.105624
175872,0.105612
176128,0.105601
176384,0.10559
176640,0.105579
176896,0.105568
177152,0.105558
177408,0.105547
177664,0.105536
177920,0.105525
178176,0.105513
178432,0.105502
178688,0.10549
178944,0.105479
179200,0.105468
179456,0.105458
179712,0.105448
179968,0.105439
180224,0.105432
180480,0.105426
180736,0.105419
180992,0.105412
181248,0.105405
181504,0.105399
181760,0.105393
182016,0.105387
182272,0.105381
182528,0.105374
182784,0.105368
183040,0.105361
183296,0.105355
183552,0.105349
183808,0.105343
184064,0.105336
184320,0.105329
184576,0.105323
184832,0.105316
185088,0.10531
185344,0.105303
185600,0.105296
185856,0.105289
186112,0.105283
186368,0.105276
186624,0.10527
186880,0.105264
187136,0.105257
187392,0.10525
187648,0.105243
187904,0.105237
188160,0.105231
188416,0.105225
188672,0.105219
188928,0.105213
189184,0.105207
189440,0.1052
189696,0.105193
189952,0.105187
190208,0.10518
190464,0.105173
190720,0.105166
190976,0.10516
191232,0.105153
191488,0.105147
191744,0.10514
192000,0.105134
192256,0.105127
192512,0.10512
192768,0.105113
193024,0.105104
193280,0.105094
193536,0.105087
193792,0.105081
194048,0.105074
194304,0.105068
194560,0.105062
194816,0.105055
195072,0.105049
195328,0.105043
195584,0.105036
195840,0.105028
196096,0.105021
196352,0.105013
196608,0.105007
196864,0.105001
197120,0.104995
197376,0.104989
197632,0.104983
197888,0.104977
198144,0.10497
198400,0.104964
198656,0.10489
198912,0.10481
199168,0.104734
199424,0.104697
199680,0.104691
199936,0.104685
200192,0.104679
200448,0.104673
200704,0.104667
200960,0.10466
201216,0.104654
201472,0.104647
201728,0.104641
201984,0.104635
202240,0.104629
202496,0.104622
202752,0.104616
203008,0.10461
203264,0.104603
203520,0.104597
203776,0.104591
204032,0.104585
204288,0.104579
204544,0.104572
204800,0.104567
205056,0.104561
205312,0.104555
205568,0.104548
205824,0.104541
206080,0.104535
206336,0.104529
206592,0.104523
206848,0.104517
207104,0.10451
207360,0.104504
207616,0.104498
207872,0.104492
208128,0.104485
208384,0.104478
208640,0.104472
208896,0.104466
209152,0.104459
209408,0.104453
209664,0.104446
209920,0.104439
210176,0.104433
210432,0.104426
210688,0.10442
210944,0.104413
211200,0.104407
211456,0.104401
211712,0.104395
211968,0.104388
212224,0.104382
212480,0.104376
212736,0.104369
212992,0.104363
213248,0.104356
213504,0.104349
213760,0.104343
214016,0.104336
214272,0.10433
214528,0.104323
214784,0.104317
215040,0.104311
215296,0.104304
215552,0.104297
215808,0.104291
216064,0.104285
216320,0.104278
216576,0.104272
216832,0.104266
217088,0.10426
217344,0.104253
217600,0.104247
217856,0.104241
218112,0.104235
218368,0.104228
218624,0.104222
218880,0.104215
219136,0.104209
219392,0.104202
219648,0.104196
219904,0.104189
220160,0.104183
220416,0.104176
220672,0.10417
220928,0.104163
221184,0.104156
221440,0.104148
221696,0.104141
221952,0.104135
222208,0.104128
222464,0.104122
222720,0.104116
222976,0.10411
223232,0.104104
223488,0.104098
223744,0.104092
224000,0.104085
224256,0.104079
224512,0.104072
224768,0.104066
225024,0.10406
225280,0.104053
225536,0.104047
225792,0.10404
226048,0.104034
226304,0.104027
226560,0.104021
226816,0.104014
227072,0.104007
227328,0.104001
227584,0.103994
227840,0.103988
228096,0.103981
228352,0.103974
228608,0.103968
228864,0.103962
229120,0.103955
229376,0.103949
229632,0.103943
229888,0.103936
230144,0.10393
230400,0.103923
230656,0.103916
230912,0.10391
231168,0.103903
231424,0.103896
231680,0.10389
231936,0.103883
232192,0.103877
232448,0.10387
232704,0.103864
232960,0.103857
233216,0.103851
233472,0.103844
233728,0.103838
233984,0.103832
234240,0.103825
234496,0.103819
234752,0.103812
235008,0.103806
235264,0.1038
235520,0.103793
235776,0.103787
236032,0.10378
236288,0.103774
236544,0.103768
236800,0.103762
237056,0.103757
237312,0.103753
237568,0.103749
237824,0.103744
238080,0.103741
238336,0.103737
238592,0.103733
238848,0.103729
239104,0.103725
239360,0.103721
239616,0.103717
239872,0.103713
240128,0.103708
240384,0.103704
240640,0.1037
240896,0.103696
241152,0.103692
241408,0.103688
241664,0.103683
241920,0.103679
242176,0.103674
242432,0.10367
242688,0.103666
242944,0.103661
243200,0.103657
243456,0.103652
243712,0.103648
243968,0.103644
244224,0.103639
244480,0.103635
244736,0.103631
244992,0.103627
245248,0.103623
245504,0.103619
245760,0.103615
246016,0.103611
246272,0.103607
246528,0.103603
246784,0.103599
247040,0.103595
247296,0.103591
247552,0.103587
247808,0.103583
248064,0.103579
248320,0.103574
248576,0.10357
248832,0.103566
249088,0.103562
249344,0.103557
249600,0.103553
249856,0.103549
250112,0.103545
250368,0.103541
250624,0.103537
250880,0.103532
251136,0.103528
251392,0.103524
251648,0.10352
251904,0.103515
252160,0.103511
252416,0.103507
252672,0.103503
252928,0.103499
253184,0.103495
253440,0.10349
253696,0.103486
253952,0.103482
254208,0.103478
254464,0.103473
254720,0.103469
254976,0.103465
255232,0.10346
255488,0.103456
255744,0.103452
256000,0.103448
256256,0.103443
256512,0.103439
256768,0.103435
257024,0.103432
257280,0.103428
257536,0.103423
257792,0.103419
258048,0.103415
258304,0.103411
258560,0.103407
258816,0.103403
259072,0.103399
259328,0.103395
259584,0.103391
259840,0.103387
260096,0.103382
260352,0.103377
260608,0.103373
260864,0.103368
261120,0.103364
261376,0.103359
261632,0.103355
261888,0.103351
262144,0.103347
262400,0.103343
262656,0.103339
262912,0.103335
263168,0.10333
263424,0.103326
263680,0.103322
263936,0.103318
264192,0.103314
264448,0.10331
264704,0.103305
264960,0.103301
265216,0.103297
265472,0.103293
