cache_lines,MRC
256,0.155448
512,0.154781
768,0.154461
1024,0.153883
1280,0.153754
1536,0.147431
1792,0.147128
2048,0.147003
2304,0.146973
2560,0.146948
2816,0.146927
3072,0.146581
3328,0.146563
3584,0.146546
3840,0.146528
4096,0.146514
4352,0.146498
4608,0.146487
4864,0.146478
5120,0.146471
5376,0.146463
5632,0.146455
5888,0.146247
6144,0.146148
6400,0.146142
6656,0.146136
6912,0.146128
7168,0.146119
7424,0.146112
7680,0.146107
7936,0.146103
8192,0.146099
8448,0.146095
8704,0.146091
8960,0.146067
9216,0.146051
9472,0.146036
9728,0.146025
9984,0.146021
10240,0.146019
10496,0.146016
10752,0.146014
11008,0.146012
11264,0.14601
11520,0.146008
11776,0.146006
12032,0.146004
12288,0.146002
12544,0.146
12800,0.145998
13056,0.145997
13312,0.145996
13568,0.145994
13824,0.145993
14080,0.145992
14336,0.145991
14592,0.145989
14848,0.145988
15104,0.145987
15360,0.145986
15616,0.145985
15872,0.145984
16128,0.145983
16384,0.145982
16640,0.145981
16896,0.14598
17152,0.145979
17408,0.145978
17664,0.145976
17920,0.145974
18176,0.145972
18432,0.14597
18688,0.145969
18944,0.145967
19200,0.145966
19456,0.145965
19712,0.145964
19968,0.145963
20224,0.145962
20480,0.145962
20736,0.145961
20992,0.145961
21248,0.14596
21504,0.14596
21760,0.145959
22016,0.145958
22272,0.145957
22528,0.145957
22784,0.145957
23040,0.145956
23296,0.145956
23552,0.145955
23808,0.145955
24064,0.145954
24320,0.145954
24576,0.145953
24832,0.145953
25088,0.145952
25344,0.145952
25600,0.145952
25856,0.145951
26112,0.145951
26368,0.14595
26624,0.14595
26880,0.145949
27136,0.145925
27392,0.145908
27648,0.145847
27904,0.145842
28160,0.145838
28416,0.145838
28672,0.145837
28928,0.145837
29184,0.145836
29440,0.145836
29696,0.145836
29952,0.145835
30208,0.145835
30464,0.145834
30720,0.145834
30976,0.145833
31232,0.145833
31488,0.145833
31744,0.145832
32000,0.145832
32256,0.145832
32512,0.145831
32768,0.145831
33024,0.14583
33280,0.14583
33536,0.14583
33792,0.145829
34048,0.145829
34304,0.145829
34560,0.145828
34816,0.145828
35072,0.145828
35328,0.145827
35584,0.145827
35840,0.145826
36096,0.145826
36352,0.145825
36608,0.145825
36864,0.145824
37120,0.145824
37376,0.145824
37632,0.145823
37888,0.145823
38144,0.145822
38400,0.145822
38656,0.145822
38912,0.145821
39168,0.145821
39424,0.14582
39680,0.14582
