reuse_time,counts
0,0
1,5640805
2,3036850
3,1615505
4,1111779
5,979249
6,1151066
7,1449040
8,1656278
9,1590504
10,1269791
11,886027
12,595211
13,446212
14,397327
15,386386
16,377980
17,363864
18,338445
19,307466
20,273157
21,242626
22,216051
23,196255
24,181675
25,173646
26,169559
27,169493
28,174356
29,182765
30,197176
31,218665
32,245974
33,279962
34,315403
35,349903
36,381463
37,408447
38,429032
39,440544
40,446870
41,447009
42,441826
43,430768
44,410195
45,383978
46,348666
47,308420
48,266201
49,222757
50,182949
51,147124
52,117617
53,94379
54,76345
55,62506
56,52034
57,44630
58,38474
59,34367
60,31313
61,29410
62,27568
63,27023
64,27105
65,27829
66,28568
67,30316
68,32900
69,35415
70,38774
71,42965
72,47305
73,52543
74,57986
75,63657
76,69285
77,74232
78,79419
79,83705
80,86367
81,88839
82,89496
83,89856
84,88380
85,85697
86,82320
87,78212
88,73185
89,68093
90,62367
91,55415
92,50068
93,44358
94,38451
95,33835
96,29023
97,24817
98,21064
99,18058
100,15608
101,13612
102,11845
103,10510
104,9918
105,9513
106,9505
107,9242
108,9495
109,10001
110,10949
111,11422
112,12579
113,13284
114,14296
115,15671
116,16385
117,17473
118,18447
119,19550
120,20466
121,21019
122,21170
123,21724
124,21656
125,21610
126,21037
127,20534
128,20154
129,18862
130,18176
131,16579
132,15689
133,14363
134,12995
135,11744
136,10520
137,9411
138,8429
139,7387
140,6289
141,5727
142,5204
143,4632
144,4187
145,3902
146,3702
147,3755
148,3656
149,3712
150,3851
151,3902
152,4072
153,4445
154,4619
155,4908
156,5298
157,5544
158,5861
159,6247
160,6552
161,6808
162,7017
163,7277
164,7241
165,7643
166,7496
167,7488
168,7383
169,7048
170,7080
171,6766
172,6554
173,6128
174,5883
175,5375
176,5163
177,4737
178,4506
179,4077
180,3599
181,3247
182,2988
183,2688
184,2520
185,2229
186,2007
187,1947
188,1743
189,1687
190,1635
191,1536
192,1488
193,1558
194,1583
195,1583
196,1707
197,1862
198,1967
199,2106
200,2326
201,2380
202,2646
203,2966
204,3139
205,3466
206,3790
207,4080
208,4353
209,4706
210,5139
211,5545
212,5908
213,6240
214,6618
215,6955
216,7075
217,7607
218,7804
219,8239
220,8478
221,8646
222,8560
223,9052
224,9080
225,8862
226,8736
227,8761
228,8669
229,8692
230,8629
231,8181
232,8087
233,7800
234,7495
235,7107
236,6785
237,6351
238,6194
239,5892
240,5703
241,5292
242,5194
243,4834
244,4389
245,4327
246,3854
247,3691
248,3470
249,3242
250,3082
251,2783
252,2641
253,2480
