cache_lines,MRC
256,0.0472532
512,0.0470099
768,0.0468754
1024,0.0466999
1280,0.046642
1536,0.0459072
1792,0.0447515
2048,0.0446888
2304,0.0446783
2560,0.0446688
2816,0.0446611
3072,0.0446558
3328,0.0445446
3584,0.0445394
3840,0.0445345
4096,0.0445312
4352,0.0445289
4608,0.0445255
4864,0.0445229
5120,0.0445219
5376,0.0445201
5632,0.0445171
5888,0.0445144
6144,0.0445135
6400,0.0444154
6656,0.0444131
6912,0.0444116
7168,0.04441
7424,0.0444074
7680,0.0444044
7936,0.0444027
8192,0.0444022
8448,0.0444012
8704,0.0444001
8960,0.0443992
9216,0.0443978
9472,0.0443885
9728,0.0443838
9984,0.0443788
10240,0.044374
10496,0.0443717
10752,0.0443708
11008,0.0443704
11264,0.0443702
11520,0.0443696
11776,0.0443689
12032,0.0443686
12288,0.0443683
12544,0.0443678
12800,0.0443673
13056,0.044367
13312,0.0443666
13568,0.044366
13824,0.0443656
14080,0.0443654
14336,0.0443651
14592,0.0443647
14848,0.0443644
15104,0.0443641
15360,0.0443637
15616,0.0443631
15872,0.0443629
16128,0.0443627
16384,0.0443624
16640,0.0443621
16896,0.0443618
17152,0.0443616
17408,0.0443613
17664,0.0443611
17920,0.0443609
18176,0.0443607
18432,0.0443604
18688,0.0443601
18944,0.0443599
19200,0.0443596
19456,0.0443594
19712,0.0443592
19968,0.0443591
20224,0.044359
20480,0.0443587
20736,0.0443584
20992,0.0443583
21248,0.0443581
21504,0.0443579
21760,0.0443577
22016,0.0443576
22272,0.0443574
22528,0.0443573
22784,0.0443571
23040,0.044357
23296,0.0443569
23552,0.0443568
23808,0.0443565
24064,0.0443564
24320,0.0443562
24576,0.0443561
24832,0.044356
25088,0.0443559
25344,0.0443558
25600,0.0443556
25856,0.0443555
26112,0.0443554
26368,0.0443553
26624,0.0443552
26880,0.0443551
27136,0.044355
27392,0.0443549
27648,0.0443548
27904,0.0443546
28160,0.0443545
28416,0.0443541
28672,0.0443534
28928,0.0443416
29184,0.0443415
29440,0.0443231
29696,0.0443229
29952,0.0443227
30208,0.0443226
30464,0.0443224
30720,0.0443223
30976,0.0443222
31232,0.0443221
31488,0.044322
31744,0.0443219
32000,0.0443218
32256,0.0443217
32512,0.0443215
32768,0.0443214
33024,0.0443213
33280,0.0443212
33536,0.0443211
33792,0.044321
34048,0.0443209
34304,0.0443208
34560,0.0443207
34816,0.0443206
35072,0.0443205
35328,0.0443205
35584,0.0443203
35840,0.0443202
36096,0.0443202
36352,0.04432
36608,0.0443199
36864,0.0443198
37120,0.0443197
37376,0.0443195
37632,0.0443194
37888,0.0443193
38144,0.0443192
38400,0.0443191
38656,0.044319
38912,0.0443189
39168,0.0443187
39424,0.0443186
39680,0.0443185
39936,0.0443185
40192,0.0443183
40448,0.0443182
40704,0.0443182
40960,0.0443181
41216,0.044318
41472,0.0443179
41728,0.0443179
41984,0.0443178
42240,0.0443176
42496,0.0443175
42752,0.0443174
43008,0.0443173
43264,0.0443172
43520,0.0443171
43776,0.044317
44032,0.044317
44288,0.0443169
44544,0.0443168
44800,0.0443167
45056,0.0443165
45312,0.0443164
45568,0.0443163
45824,0.0443162
46080,0.0443162
46336,0.044316
46592,0.0443159
46848,0.0443158
47104,0.0443157
47360,0.0443156
47616,0.0443155
47872,0.0443154
48128,0.0443154
48384,0.0443152
48640,0.0443152
48896,0.0443151
49152,0.044315
49408,0.0443135
49664,0.0443135
49920,0.0443135
50176,0.0443134
50432,0.0443133
50688,0.0443132
50944,0.0442839
51200,0.044276
51456,0.0442759
51712,0.0442758
51968,0.0442748
52224,0.0442747
52480,0.0442593
52736,0.044215
52992,0.0442149
53248,0.0442148
53504,0.0442147
53760,0.0442147
54016,0.0442146
54272,0.0442145
54528,0.0442144
54784,0.0442144
55040,0.0442143
55296,0.0442143
55552,0.0442142
55808,0.0442141
56064,0.044214
56320,0.044214
56576,0.0442139
56832,0.0442138
57088,0.0442138
57344,0.0442138
57600,0.0442137
57856,0.0442137
58112,0.0442132
58368,0.0442132
58624,0.0442131
58880,0.044213
59136,0.0442129
59392,0.0442129
59648,0.0442128
59904,0.0442127
60160,0.0442127
60416,0.0442113
60672,0.0442089
60928,0.0442066
61184,0.0442046
61440,0.0442025
61696,0.0442003
61952,0.044198
62208,0.0441958
62464,0.0441937
62720,0.0441914
62976,0.0441891
63232,0.0441867
63488,0.0441839
63744,0.0441806
64000,0.0441686
64256,0.0441629
64512,0.0441607
64768,0.0441586
65024,0.0441558
65280,0.0441533
65536,0.0441508
65792,0.0441485
66048,0.0441458
66304,0.0441431
66560,0.0441407
66816,0.0441388
67072,0.044137
67328,0.0441347
67584,0.0441325
67840,0.0441302
68096,0.0441279
68352,0.0441258
68608,0.0441235
68864,0.0441212
69120,0.044119
69376,0.0441168
69632,0.0441148
69888,0.0441125
70144,0.0441102
70400,0.0441081
70656,0.0441059
70912,0.0441037
71168,0.0441015
71424,0.0440993
71680,0.0440968
71936,0.0440945
72192,0.0440923
72448,0.0440901
72704,0.0440881
72960,0.0440859
73216,0.0440837
