cache_lines,MRC
256,0.0317874
512,0.0268434
768,0.0241143
1024,0.022206
1280,0.0205531
1536,0.019073
1792,0.0179166
2048,0.0169133
2304,0.0160788
2560,0.0153443
2816,0.0147319
3072,0.0141915
3328,0.0137134
3584,0.0132653
3840,0.0128623
4096,0.0125067
4352,0.0121748
4608,0.011867
4864,0.0115832
5120,0.0113253
5376,0.0110751
5632,0.0108491
5888,0.0106304
6144,0.010423
6400,0.0102234
6656,0.0100338
6912,0.00985233
7168,0.00967673
7424,0.00950671
7680,0.00934461
7936,0.00918149
8192,0.00902658
8448,0.00886985
8704,0.00871852
8960,0.00857816
9216,0.0084392
9472,0.0083061
9728,0.00818034
9984,0.00805043
10240,0.00792725
10496,0.00780026
10752,0.00767768
11008,0.00756116
11264,0.00744826
11520,0.007335
11776,0.00723019
12032,0.00712033
12288,0.00701946
12544,0.00691743
12800,0.00681719
13056,0.00671913
13312,0.00662641
13568,0.0065343
13824,0.00644177
14080,0.00635543
14336,0.00626831
14592,0.00618463
14848,0.00610148
15104,0.0060172
15360,0.00593637
15616,0.00585677
15872,0.00577988
16128,0.0057032
16384,0.00562628
16640,0.00554752
16896,0.00547261
17152,0.00539347
17408,0.00529547
17664,0.00522357
17920,0.00515658
18176,0.00509021
18432,0.00502865
18688,0.00496788
18944,0.00490554
19200,0.00484467
19456,0.0047868
19712,0.00472975
19968,0.00467312
20224,0.00461216
20480,0.00455516
20736,0.00449687
20992,0.00441045
21248,0.00435559
21504,0.00430487
21760,0.00425153
22016,0.00419862
22272,0.00414446
22528,0.00409601
22784,0.00404551
23040,0.00399611
23296,0.00394534
23552,0.003898
23808,0.00384768
24064,0.00377594
24320,0.00373195
24576,0.00368564
24832,0.0036431
25088,0.00360506
25344,0.00356562
25600,0.00352879
25856,0.00349049
26112,0.00345378
26368,0.0034178
26624,0.00338143
26880,0.00334881
27136,0.00331495
27392,0.00327582
27648,0.00324307
27904,0.00320952
28160,0.00317508
28416,0.00314421
28672,0.00311417
28928,0.0030849
29184,0.00305585
29440,0.00302604
29696,0.00299487
29952,0.00296753
30208,0.0029378
30464,0.00290944
30720,0.00287942
30976,0.00285269
31232,0.0028264
31488,0.00280106
31744,0.00277634
32000,0.0027512
32256,0.00272754
32512,0.00270237
32768,0.00268108
33024,0.00265775
33280,0.00263447
33536,0.00261091
33792,0.0025895
34048,0.00256767
34304,0.00254563
34560,0.00252377
34816,0.00250294
35072,0.00247989
35328,0.0024587
35584,0.00243797
35840,0.00241918
36096,0.00240214
36352,0.00238395
36608,0.00236482
36864,0.0023444
37120,0.00232803
37376,0.00231086
37632,0.00229255
37888,0.00227703
38144,0.00225886
38400,0.00224246
38656,0.00222416
