cache_lines,MRC
256,0.0803192
512,0.0767621
768,0.0745722
1024,0.0729107
1280,0.0715162
1536,0.0703128
1792,0.0692427
2048,0.0682277
2304,0.0673408
2560,0.0664882
2816,0.065687
3072,0.0649474
3328,0.0642129
3584,0.0634845
3840,0.0628035
4096,0.0621514
4352,0.061496
4608,0.060842
4864,0.060202
5120,0.059559
5376,0.0589177
5632,0.0583078
5888,0.0576941
6144,0.0570698
6400,0.0564792
6656,0.0558867
6912,0.0552919
7168,0.0547114
7424,0.0541071
7680,0.0535196
7936,0.0529543
8192,0.052373
8448,0.0517945
8704,0.0512165
8960,0.0506626
9216,0.0500864
9472,0.0495372
9728,0.0489794
9984,0.0484119
10240,0.0478536
10496,0.0473112
10752,0.0467541
11008,0.0462239
11264,0.0456739
11520,0.0451419
11776,0.0446062
12032,0.0440798
12288,0.0435343
12544,0.0430066
12800,0.0424723
13056,0.0419499
13312,0.041416
13568,0.040875
13824,0.0403482
14080,0.0398431
14336,0.0393295
14592,0.0388324
14848,0.0383176
15104,0.0378154
15360,0.0373106
15616,0.0367974
15872,0.0363011
16128,0.0357995
16384,0.0352932
16640,0.0347828
16896,0.0342921
17152,0.0337958
17408,0.0333083
17664,0.0328098
17920,0.032308
18176,0.0318206
18432,0.0312979
18688,0.0307916
18944,0.0303028
19200,0.0297869
19456,0.029287
19712,0.0287923
19968,0.0282747
20224,0.0277535
20480,0.0273055
20736,0.0268663
20992,0.026438
21248,0.0260354
21504,0.0256181
21760,0.0251779
22016,0.0247693
22272,0.0243861
22528,0.0239757
22784,0.0235743
23040,0.0231909
23296,0.0227997
23552,0.0224024
23808,0.0220295
24064,0.0216269
24320,0.0212288
24576,0.0201243
24832,0.0197072
25088,0.0193173
25344,0.0189211
25600,0.0185371
25856,0.0181801
26112,0.0178316
26368,0.0174742
26624,0.0171185
26880,0.0168051
27136,0.0164794
27392,0.0161526
27648,0.0158094
27904,0.0154875
28160,0.015183
28416,0.0148564
28672,0.0145433
28928,0.0142444
29184,0.0139889
29440,0.0137254
29696,0.0134521
29952,0.0132
30208,0.0129402
30464,0.0126895
30720,0.0123876
30976,0.0121308
31232,0.0118828
31488,0.0116279
31744,0.0113707
32000,0.0111365
32256,0.0108919
32512,0.010669
32768,0.0104563
33024,0.0102228
33280,0.010002
33536,0.00978004
33792,0.00956924
34048,0.00940952
34304,0.00924378
34560,0.0090928
34816,0.00891576
35072,0.00872978
35328,0.00857848
35584,0.00841444
35840,0.00826422
36096,0.00811294
36352,0.00797955
36608,0.00785353
36864,0.00771728
37120,0.00759311
37376,0.00747093
37632,0.0073548
37888,0.00723376
38144,0.00708642
38400,0.00694603
38656,0.00679144
38912,0.00660792
39168,0.00649684
39424,0.00638423
39680,0.0062774
39936,0.00617221
40192,0.00606849
40448,0.00595117
40704,0.00578648
40960,0.00568526
41216,0.00557706
41472,0.00542486
41728,0.0053295
41984,0.00522582
42240,0.00511964
42496,0.00501702
42752,0.00491569
43008,0.00481417
43264,0.00470978
43520,0.00460978
43776,0.00450703
44032,0.00440118
44288,0.00429421
44544,0.00419104
44800,0.00408017
45056,0.00397638
45312,0.00387414
45568,0.00377236
45824,0.00366334
46080,0.00355455
46336,0.00343981
46592,0.00333787
46848,0.00323329
47104,0.00311519
47360,0.00300982
47616,0.00290382
47872,0.00280053
48128,0.00270971
48384,0.00261718
48640,0.00251536
48896,0.00241464
49152,0.00229598
49408,0.00218837
49664,0.00208448
49920,0.00197982
50176,0.00186213
50432,0.00174436
50688,0.00162659
50944,0.00154368
51200,0.00146658
51456,0.00138623
51712,0.00130329
51968,0.00124588
52224,0.00121502
52480,0.00119409
52736,0.00117724
52992,0.00116233
53248,0.00114633
53504,0.00113034
53760,0.00111709
54016,0.00110195
54272,0.00108471
54528,0.00107041
54784,0.00106101
55040,0.00105189
55296,0.00104021
55552,0.00103217
55808,0.00102398
56064,0.00101119
56320,0.00099863
56576,0.00098794
56832,0.000978071
57088,0.00096706
57344,0.000954178
57600,0.000946007
57856,0.000937759
58112,0.000924691
58368,0.000914333
58624,0.000906519
58880,0.000896165
59136,0.000882796
59392,0.000873427
59648,0.000863704
59904,0.0008533
60160,0.000844624
60416,0.000834566
60672,0.000825993
60928,0.000818385
61184,0.000807012
61440,0.000800709
61696,0.000791958
61952,0.000784359
62208,0.000774206
62464,0.000765111
62720,0.000757456
62976,0.000750612
63232,0.000740556
63488,0.000734435
63744,0.000723163
64000,0.00071542
64256,0.000705055
64512,0.000697216
64768,0.000686524
65024,0.000677031
65280,0.000667187
65536,0.000659167
65792,0.000651021
66048,0.000642606
66304,0.000633648
66560,0.000624112
66816,0.000614998
67072,0.000604861
67328,0.000594701
67584,0.000587787
67840,0.000578189
68096,0.000570577
68352,0.000563675
68608,0.000558472
68864,0.000554309
69120,0.000549818
69376,0.000544023
69632,0.000538125
69888,0.000533841
70144,0.000530232
70400,0.000526791
70656,0.000521151
70912,0.000516909
71168,0.000510486
71424,0.00050671
71680,0.000502219
71936,0.000499099
72192,0.000493373
72448,0.000488552
72704,0.000484496
72960,0.000481704
73216,0.00047972
73472,0.000477021
73728,0.000475675
73984,0.000473912
74240,0.00047237
74496,0.000470094
74752,0.000467869
75008,0.000465945
75264,0.000464
75520,0.000460376
75776,0.000457504
76032,0.000455625
76288,0.000454707
76544,0.000452387
76800,0.000450701
77056,0.000448343
77312,0.00044515
77568,0.000441044
77824,0.000436073
78080,0.000433603
78336,0.00043001
78592,0.000427684
78848,0.000425043
79104,0.000420594
79360,0.000418315
79616,0.000416166
79872,0.000413089
80128,0.000412221
80384,0.00041134
80640,0.000410328
80896,0.000409771
81152,0.000409174
81408,0.000408121
81664,0.000408035
81920,0.000407071
82176,0.000406056
82432,0.000405256
82688,0.00040473
82944,0.000400496
83200,0.000389968
83456,0.000389528
83712,0.000389429
83968,0.000389307
84224,0.000389307
84480,0.000389307
84736,0.000389307
84992,0.000389307
85248,0.000389187
85504,0.000383045
85760,0.000373766
86016,0.000371461
86272,0.000371461
86528,0.000371461
86784,0.000371461
87040,0.000371229
87296,0.000370951
87552,0.000368071
87808,0.000362989
88064,0.000353868
88320,0.000350323
88576,0.00035031
88832,0.00035031
89088,0.000350236
89344,0.000349842
89600,0.000349649
89856,0.000349649
90112,0.000349649
90368,0.000344529
90624,0.000319013
90880,0.00030315
91136,0.000302359
91392,0.000299245
91648,0.000298533
91904,0.000298533
92160,0.000298533
92416,0.000298533
92672,0.000298533
92928,0.000298421
93184,0.000298313
93440,0.0002983
93696,0.000297872
93952,0.000297738
94208,0.000297652
94464,0.000297652
94720,0.000297652
94976,0.000297652
95232,0.000297652
95488,0.000297652
95744,0.000297048
96000,0.000296138
96256,0.00029611
96512,0.00029611
96768,0.000295889
97024,0.000295889
97280,0.000295889
97536,0.000295889
97792,0.000295889
98048,0.000295889
