cache_lines,MRC
256,0.102708
512,0.098948
768,0.0967129
1024,0.0950217
1280,0.0936694
1536,0.0924731
1792,0.0914168
2048,0.0905081
2304,0.0896687
2560,0.0888844
2816,0.0881076
3072,0.0873894
3328,0.0867195
3584,0.0860582
3840,0.085383
4096,0.084735
4352,0.0840805
4608,0.0834313
4864,0.0828007
5120,0.0821514
5376,0.0814856
5632,0.08087
5888,0.0802355
6144,0.0796044
6400,0.0789769
6656,0.0783482
6912,0.0777105
7168,0.0770866
7424,0.0764377
7680,0.0757954
7936,0.0751696
8192,0.0745396
8448,0.0739202
8704,0.0732929
8960,0.07267
9216,0.0720732
9472,0.071439
9728,0.0708087
9984,0.0701457
10240,0.0694872
10496,0.0688419
10752,0.0681801
11008,0.0675228
11264,0.0669009
11520,0.0662447
11776,0.0655883
12032,0.0649372
12288,0.0642901
12544,0.0635975
12800,0.0629435
13056,0.0622621
13312,0.0616066
13568,0.060949
13824,0.0602703
14080,0.0596246
14336,0.0589799
14592,0.0583183
14848,0.057643
15104,0.0569197
15360,0.0562317
15616,0.0555573
15872,0.0548732
16128,0.0541856
16384,0.0534956
16640,0.0528169
16896,0.052101
17152,0.0513744
17408,0.0506755
17664,0.0499307
17920,0.0492265
18176,0.0485953
18432,0.0480129
18688,0.0474349
18944,0.046855
19200,0.0462674
19456,0.045675
19712,0.0450966
19968,0.0445449
20224,0.04394
20480,0.0433312
20736,0.0427698
20992,0.0422021
21248,0.0416207
21504,0.0410583
21760,0.0404464
22016,0.0398639
22272,0.0379999
22528,0.0374199
22784,0.0368258
23040,0.0362606
23296,0.0356478
23552,0.0350641
23808,0.0344815
24064,0.0339499
24320,0.0334114
24576,0.0328542
24832,0.032349
25088,0.0318402
25344,0.0313122
25600,0.0307729
25856,0.0302124
26112,0.0297361
26368,0.0291972
26624,0.0287127
26880,0.0281903
27136,0.0277116
27392,0.0272817
27648,0.0268697
27904,0.0264494
28160,0.0260424
28416,0.0256503
28672,0.0252427
28928,0.0248259
29184,0.0242998
29440,0.023861
29696,0.0234722
29952,0.0229796
30208,0.0225329
30464,0.0220997
30720,0.0217144
30976,0.0213196
31232,0.0209272
31488,0.0205305
31744,0.0201336
32000,0.0197407
32256,0.0193589
32512,0.0189994
32768,0.0186873
33024,0.0183713
33280,0.0180739
33536,0.0177855
33792,0.0174207
34048,0.0171103
34304,0.0168111
34560,0.0165157
34816,0.0162037
35072,0.0159354
35328,0.0156432
35584,0.0153888
35840,0.0151454
36096,0.0148879
36352,0.0146437
36608,0.0143963
36864,0.0141721
37120,0.0139467
37376,0.0136483
37632,0.0133543
37888,0.0130605
38144,0.012729
38400,0.0124528
38656,0.0122068
38912,0.0119875
39168,0.0117612
39424,0.011539
39680,0.0113176
39936,0.0111072
40192,0.0108224
40448,0.0106204
40704,0.0104209
40960,0.0101168
41216,0.00990483
41472,0.00971476
41728,0.00951129
41984,0.00932256
42240,0.009099
42496,0.00891123
42752,0.0087072
43008,0.00850121
43264,0.00830356
43520,0.0081258
43776,0.00793127
44032,0.00772679
44288,0.00753001
44544,0.00734054
44800,0.00714827
45056,0.00694779
45312,0.00673441
45568,0.00653569
45824,0.00633589
46080,0.0061455
46336,0.00598041
46592,0.00581386
46848,0.00563015
47104,0.00543768
47360,0.00524079
47616,0.00505779
47872,0.00489595
48128,0.00472362
48384,0.00453971
48640,0.00434826
48896,0.0041542
49152,0.0039766
49408,0.00378529
49664,0.00359944
49920,0.00340179
50176,0.00319319
50432,0.00297187
50688,0.00281481
50944,0.00267197
51200,0.00253223
51456,0.00238972
51712,0.00226117
51968,0.00221622
52224,0.00216839
52480,0.0021239
52736,0.00208832
52992,0.00205184
53248,0.00201729
53504,0.00198163
53760,0.00194682
54016,0.00190915
54272,0.00187844
54528,0.0018577
54784,0.00183475
55040,0.00181617
55296,0.00179752
55552,0.00178056
55808,0.00176002
56064,0.00174171
56320,0.00172547
56576,0.00171065
56832,0.00168981
57088,0.00166976
57344,0.00164993
57600,0.00163097
57856,0.00161124
58112,0.0015962
58368,0.00158013
58624,0.00156451
58880,0.00154702
59136,0.00153291
59392,0.00151439
59648,0.00149684
59904,0.00147854
60160,0.00145842
60416,0.00144304
60672,0.00142511
60928,0.00140931
61184,0.00139335
61440,0.00137744
61696,0.00136492
61952,0.00134926
62208,0.00133383
62464,0.00132102
62720,0.00130359
62976,0.00128908
63232,0.00127212
63488,0.00125693
63744,0.00124208
64000,0.00122977
64256,0.00120739
64512,0.00118909
64768,0.00116795
65024,0.00115176
65280,0.00113551
65536,0.00112113
65792,0.0011068
66048,0.00109227
66304,0.00107316
66560,0.00105823
66816,0.00104023
67072,0.00102074
67328,0.00100215
67584,0.000991245
67840,0.000979956
68096,0.000964305
68352,0.000954139
68608,0.00094524
68864,0.000936642
69120,0.000925166
69376,0.000915139
69632,0.000905625
69888,0.00089545
70144,0.000886772
70400,0.000875949
70656,0.000869913
70912,0.000858601
71168,0.000849999
71424,0.000839024
71680,0.000829617
71936,0.000821974
72192,0.00081773
72448,0.000812439
72704,0.000808049
72960,0.000804945
73216,0.00080176
73472,0.000800236
73728,0.000798151
73984,0.000796261
74240,0.000790436
74496,0.000786619
74752,0.000783422
75008,0.000778585
75264,0.000774217
75520,0.000771149
75776,0.000766074
76032,0.000760202
76288,0.0007564
76544,0.00075175
76800,0.000746677
77056,0.000740547
77312,0.000733919
77568,0.000727329
77824,0.000720529
78080,0.000717729
78336,0.000711729
78592,0.000706459
78848,0.000700462
79104,0.000693286
79360,0.000688853
79616,0.000686121
79872,0.000685027
80128,0.000683038
80384,0.000683038
80640,0.000681496
80896,0.000679491
81152,0.000677452
81408,0.000675612
81664,0.00067338
81920,0.000671474
82176,0.00066064
82432,0.00064885
82688,0.000647575
82944,0.000647575
83200,0.000647575
83456,0.000647575
83712,0.000647575
83968,0.000647575
84224,0.000647575
84480,0.000642237
84736,0.0006284
84992,0.000620447
85248,0.000619436
85504,0.000619436
85760,0.000619436
86016,0.000618047
86272,0.000616392
86528,0.00061189
86784,0.000604806
87040,0.000591603
87296,0.000586695
87552,0.000585516
87808,0.00058513
88064,0.00058513
88320,0.00058513
88576,0.00058513
88832,0.00058513
89088,0.000584047
89344,0.000559324
89600,0.000517698
89856,0.000509194
90112,0.000506117
90368,0.000504569
90624,0.000504569
90880,0.000504569
91136,0.000504569
91392,0.000504569
91648,0.000504569
91904,0.000504569
92160,0.000504183
92416,0.000504183
92672,0.000504183
92928,0.000503798
93184,0.000503798
93440,0.000503798
93696,0.000503413
93952,0.000503413
94208,0.000503037
94464,0.000501924
94720,0.000501485
94976,0.000500714
95232,0.000500714
95488,0.000500714
95744,0.000500714
96000,0.000500714
96256,0.000500714
96512,0.000500714
96768,0.000500714
97024,0.000500714
97280,0.000500714
97536,0.000500714
97792,0.000500714
98048,0.000500537
98304,0.000489137
98560,0.000459582
98816,0.000437357
99072,0.00043388
99328,0.000433644
99584,0.000433644
99840,0.000433644
100096,0.000433644
100352,0.000433644
100608,0.000433644
100864,0.000433644
101120,0.000433644
101376,0.000433644
101632,0.000433644
101888,0.000433644
102144,0.000433644
102400,0.000433282
102656,0.000432488
102912,0.000430968
103168,0.000430946
103424,0.000430946
103680,0.000430946
103936,0.00043056
104192,0.00043056
104448,0.000430175
104704,0.000430175
104960,0.000430175
105216,0.000430175
105472,0.000429917
105728,0.000417231
105984,0.000409895
106240,0.000386454
106496,0.000350451
106752,0.000337447
107008,0.000336893
107264,0.000335706
