cache_lines,MRC
256,0.0581512
512,0.0549557
768,0.0528962
1024,0.0513472
1280,0.0500241
1536,0.0488367
1792,0.0477806
2048,0.0468062
2304,0.0458932
2560,0.0450212
2816,0.0441845
3072,0.0433891
3328,0.0426328
3584,0.041894
3840,0.0411668
4096,0.0404746
4352,0.0398095
4608,0.0391459
4864,0.0384874
5120,0.0378507
5376,0.0372382
5632,0.0366368
5888,0.0360498
6144,0.0354676
6400,0.0348924
6656,0.0343335
6912,0.0337867
7168,0.0332642
7424,0.0327337
7680,0.032203
7936,0.0317053
8192,0.0312045
8448,0.0307057
8704,0.0302196
8960,0.0297518
9216,0.0292791
9472,0.0288236
9728,0.0283737
9984,0.0279353
10240,0.0274952
10496,0.0270533
10752,0.0266354
11008,0.02621
11264,0.0257972
11520,0.0253939
11776,0.0249985
12032,0.0246137
12288,0.0242271
12544,0.0238437
12800,0.0234741
13056,0.0231027
13312,0.0227545
13568,0.0224068
13824,0.0220599
14080,0.0217117
14336,0.0213776
14592,0.0210452
14848,0.0207184
15104,0.0203839
15360,0.0200599
15616,0.0197342
15872,0.0194247
16128,0.0191201
16384,0.0188166
16640,0.0185088
16896,0.0182164
17152,0.0179264
17408,0.0176352
17664,0.017344
17920,0.0170575
18176,0.0167793
18432,0.0164947
18688,0.0162141
18944,0.0159389
19200,0.0156729
19456,0.0154001
19712,0.0151347
19968,0.0148551
20224,0.0145807
20480,0.0143115
20736,0.0140368
20992,0.0137561
21248,0.0134932
21504,0.0132127
21760,0.012933
22016,0.0126902
22272,0.0124628
22528,0.0122497
22784,0.0120205
23040,0.0118158
23296,0.0115892
23552,0.0113797
23808,0.0111696
24064,0.0109592
24320,0.0107517
24576,0.0105484
24832,0.0103462
25088,0.010149
25344,0.00994521
25600,0.00966637
25856,0.00917242
26112,0.00896205
26368,0.00875999
26624,0.00855426
26880,0.00837127
27136,0.00817986
27392,0.00799907
27648,0.00782066
27904,0.00764993
28160,0.00747708
28416,0.00730914
28672,0.00713435
28928,0.00697729
29184,0.00680518
29440,0.0066462
29696,0.00648866
29952,0.00635508
30208,0.00622823
30464,0.00609835
30720,0.00598105
30976,0.00586375
31232,0.0057437
31488,0.00560647
31744,0.00548832
32000,0.00536522
32256,0.00524374
32512,0.00512442
32768,0.00501772
33024,0.00491357
33280,0.00481795
33536,0.00471006
33792,0.00460863
34048,0.00450954
34304,0.00442091
34560,0.00434641
34816,0.00428014
35072,0.00421199
35328,0.00411867
35584,0.00404555
35840,0.00397792
36096,0.00390449
36352,0.00383812
36608,0.00378075
36864,0.00371701
37120,0.00366155
37376,0.00360855
37632,0.00355516
37888,0.00350138
38144,0.00344332
38400,0.00337181
38656,0.00330597
38912,0.00322204
39168,0.00315408
39424,0.00310451
39680,0.00305195
39936,0.00299758
40192,0.00294711
40448,0.00290037
40704,0.00282654
40960,0.00276879
41216,0.0027234
41472,0.00265409
41728,0.00260573
41984,0.00256103
42240,0.0025139
42496,0.0024669
42752,0.00241584
43008,0.0023625
43264,0.00231098
43520,0.00225983
43776,0.00221159
44032,0.00216347
44288,0.00211136
44544,0.00205391
44800,0.00199638
45056,0.00194259
45312,0.00188778
45568,0.00183272
45824,0.00177704
46080,0.00172036
46336,0.00166835
46592,0.00161285
46848,0.00155758
47104,0.00149983
47360,0.00145181
