cache_lines,MRC
256,0.0266394
512,0.0266387
768,0.0266385
1024,0.0266385
1280,0.0266384
1536,0.0176597
1792,0.0176596
2048,0.0176596
2304,0.0176596
2560,0.0176586
2816,0.0176586
3072,0.0176586
3328,0.0176586
3584,0.0176586
3840,0.0176586
4096,0.0176536
4352,0.0176536
4608,0.0176536
4864,0.0176536
5120,0.0176536
5376,0.0176536
5632,0.0176536
5888,0.0176536
6144,0.0176536
6400,0.0176536
6656,0.0176536
6912,0.0176349
7168,0.0176134
7424,0.0175918
7680,0.0175702
7936,0.0175609
8192,0.0175521
8448,0.0175431
8704,0.0175335
8960,0.0175244
9216,0.0175156
9472,0.0175061
9728,0.0174972
9984,0.0174875
10240,0.0174786
10496,0.0174687
10752,0.0174596
11008,0.017451
11264,0.0174415
11520,0.0174328
11776,0.0174245
12032,0.017416
12288,0.0174068
12544,0.0173979
12800,0.017389
13056,0.017379
13312,0.0173703
13568,0.0173612
13824,0.0173514
14080,0.0173419
14336,0.0173334
14592,0.0173244
14848,0.0173151
15104,0.0173064
15360,0.0172976
15616,0.0172882
15872,0.0172796
16128,0.0172705
16384,0.0172614
16640,0.0172521
16896,0.0172428
17152,0.0172336
17408,0.0172243
17664,0.0172154
17920,0.0172056
18176,0.0171965
18432,0.017187
18688,0.0171778
18944,0.0171683
19200,0.0171581
19456,0.0171486
19712,0.0171388
19968,0.0171286
20224,0.0170644
20480,0.0170557
20736,0.0170466
20992,0.0170366
21248,0.0170272
21504,0.0170175
21760,0.017008
22016,0.0169988
22272,0.0169896
22528,0.0169805
22784,0.0169711
23040,0.0169619
23296,0.0169528
23552,0.0169429
23808,0.0169335
24064,0.0169239
24320,0.0169141
24576,0.0169051
24832,0.0168957
25088,0.0168858
25344,0.0168763
25600,0.0168667
25856,0.016857
26112,0.0168466
26368,0.0168371
26624,0.0168273
26880,0.016817
27136,0.0168072
27392,0.016798
27648,0.0167879
27904,0.016778
28160,0.0167686
28416,0.0167598
28672,0.0167499
28928,0.0167409
29184,0.0167311
29440,0.0167205
29696,0.0167112
29952,0.0167023
30208,0.0166923
30464,0.0166831
30720,0.0166737
30976,0.0166645
31232,0.0166543
31488,0.0166451
31744,0.0166356
32000,0.0166255
32256,0.0166165
32512,0.0166068
32768,0.0165964
33024,0.0165865
33280,0.0165765
33536,0.0165668
33792,0.0165568
34048,0.0165474
34304,0.0165377
34560,0.0165271
34816,0.0165177
35072,0.016508
35328,0.016497
35584,0.0164876
35840,0.016478
36096,0.016468
36352,0.0164587
36608,0.0164495
36864,0.0164395
37120,0.0164298
37376,0.0164205
37632,0.0164112
37888,0.0164015
38144,0.0163921
38400,0.0163827
38656,0.0163724
38912,0.0163629
39168,0.0163531
39424,0.0163429
39680,0.0163334
39936,0.0163241
40192,0.0163137
40448,0.016304
40704,0.0162941
40960,0.0162839
41216,0.0162735
