cache_lines,MRC
256,0.0287412
512,0.0287404
768,0.0287402
1024,0.0287401
1280,0.0287398
1536,0.0189838
1792,0.0189838
2048,0.0189838
2304,0.0189838
2560,0.0189775
2816,0.0189775
3072,0.0189775
3328,0.0189775
3584,0.0189761
3840,0.0189717
4096,0.0189717
4352,0.0189712
4608,0.0189712
4864,0.0189712
5120,0.0189712
5376,0.0189708
5632,0.0189708
5888,0.0189708
6144,0.0189688
6400,0.0189402
6656,0.0189167
6912,0.0188923
7168,0.0188749
7424,0.0188651
7680,0.0188559
7936,0.018846
8192,0.0188358
8448,0.0188263
8704,0.0188162
8960,0.0188066
9216,0.0187972
9472,0.0187874
9728,0.0187785
9984,0.0187682
10240,0.0187594
10496,0.0187504
10752,0.0187403
11008,0.0187309
11264,0.0187219
11520,0.0187123
11776,0.0187026
12032,0.0186926
12288,0.0186828
12544,0.0186721
12800,0.0186622
13056,0.0186514
13312,0.0186412
13568,0.0186312
13824,0.0186213
14080,0.0186117
14336,0.0186019
14592,0.0185926
14848,0.0185831
15104,0.0185726
15360,0.0185632
15616,0.0185536
15872,0.0185441
16128,0.0185343
16384,0.0185243
16640,0.0185145
16896,0.0185038
17152,0.0184942
17408,0.0184841
17664,0.0184738
17920,0.0184632
18176,0.0183927
18432,0.0183832
18688,0.0183724
18944,0.0183627
19200,0.0183524
19456,0.0183419
19712,0.0183321
19968,0.0183222
20224,0.0183126
20480,0.0183027
20736,0.0182923
20992,0.0182827
21248,0.0182722
21504,0.0182625
21760,0.0182525
22016,0.0182425
22272,0.0182321
22528,0.0182226
22784,0.0182128
23040,0.0182024
23296,0.0181925
23552,0.0181819
23808,0.0181712
24064,0.0181609
24320,0.0181508
24576,0.0181401
24832,0.0181297
25088,0.0181204
25344,0.0181098
25600,0.0180989
25856,0.0180884
26112,0.0180782
26368,0.0180676
26624,0.0180573
26880,0.0180472
27136,0.0180367
27392,0.0180257
27648,0.0180154
27904,0.0180055
28160,0.0179948
28416,0.0179847
28672,0.0179743
28928,0.0179635
29184,0.0179536
29440,0.0179433
29696,0.0179331
29952,0.0179222
30208,0.0179112
30464,0.0179004
30720,0.0178897
30976,0.0178796
31232,0.0178687
31488,0.017858
31744,0.0178476
32000,0.0178375
32256,0.0178275
32512,0.0178165
32768,0.0178065
33024,0.0177962
33280,0.0177863
33536,0.0177761
33792,0.0177663
34048,0.0177555
34304,0.0177455
34560,0.017735
34816,0.017724
35072,0.0177134
35328,0.0177039
35584,0.0176928
35840,0.0176827
36096,0.0176724
36352,0.0176622
36608,0.0176519
36864,0.0176419
37120,0.017632
37376,0.0176213
37632,0.017611
37888,0.0176001
38144,0.0175891
38400,0.0175788
38656,0.0175685
38912,0.0175583
39168,0.0175477
39424,0.0175374
39680,0.017527
39936,0.0175161
40192,0.0175058
40448,0.0174953
40704,0.0174841
40960,0.0174737
41216,0.0174633
41472,0.0174531
41728,0.0174426
41984,0.0174323
42240,0.0174224
42496,0.0174123
42752,0.0174014
43008,0.0173912
43264,0.0173793
43520,0.0173692
43776,0.0173589
44032,0.0173479
44288,0.0173369
44544,0.0173258
44800,0.0173147
45056,0.0173035
45312,0.0172931
45568,0.0172821
45824,0.0172714
46080,0.0172612
46336,0.0172504
46592,0.0172387
46848,0.0172279
47104,0.017217
47360,0.0172062
47616,0.0171958
47872,0.0171854
48128,0.0171745
48384,0.0171635
48640,0.0171535
48896,0.0171426
49152,0.0171311
49408,0.0171207
49664,0.0171105
49920,0.0170991
50176,0.0170876
50432,0.0170764
50688,0.0170653
50944,0.0170551
51200,0.0170447
51456,0.0170341
51712,0.0170241
51968,0.0170137
52224,0.0170026
52480,0.016992
52736,0.016981
52992,0.0169695
53248,0.0169587
53504,0.0169483
53760,0.0169375
