cache_lines,MRC
256,0.0478449
512,0.0478368
768,0.0478342
1024,0.0478337
1280,0.0478333
1536,0.0318336
1792,0.0318336
2048,0.0318335
2304,0.0317627
2560,0.0317243
2816,0.0317243
3072,0.0317243
3328,0.0317196
3584,0.0317169
3840,0.0317169
4096,0.0317169
4352,0.0317149
4608,0.0317149
4864,0.0317149
5120,0.0317135
5376,0.0317135
5632,0.0317135
5888,0.0317077
6144,0.03166
6400,0.031623
6656,0.0315842
6912,0.0315606
7168,0.0315447
7424,0.0315291
7680,0.0315128
7936,0.0314963
8192,0.03148
8448,0.0314627
8704,0.0314451
8960,0.0314292
9216,0.0314144
9472,0.0313974
9728,0.0313802
9984,0.0313639
10240,0.0313476
10496,0.0313303
10752,0.031315
11008,0.0312982
11264,0.0312814
11520,0.0312638
11776,0.0312472
12032,0.0312298
12288,0.0312141
12544,0.0311976
12800,0.0311796
13056,0.0311627
13312,0.0311458
13568,0.0311281
13824,0.0311119
14080,0.031095
14336,0.0310781
14592,0.0310599
14848,0.0310427
15104,0.0310256
15360,0.0310068
15616,0.0309908
15872,0.0309743
16128,0.0309562
16384,0.0309403
16640,0.030923
16896,0.030905
17152,0.0308825
17408,0.0307802
17664,0.0307628
17920,0.0307447
18176,0.030727
18432,0.0307092
18688,0.0306909
18944,0.0306736
19200,0.0306569
19456,0.0306398
19712,0.0306232
19968,0.0306057
20224,0.0305878
20480,0.0305707
20736,0.0305539
20992,0.0305359
21248,0.0305181
21504,0.0305013
21760,0.0304848
22016,0.0304671
22272,0.0304494
22528,0.0304334
22784,0.0304163
23040,0.0303994
23296,0.0303824
23552,0.0303651
23808,0.0303473
24064,0.0303304
24320,0.0303142
24576,0.0302963
24832,0.0302788
25088,0.0302622
25344,0.030244
25600,0.0302271
25856,0.0302086
26112,0.0301906
26368,0.0301741
26624,0.030157
26880,0.0301396
27136,0.0301225
27392,0.0301049
27648,0.0300871
27904,0.0300687
28160,0.030053
28416,0.0300353
28672,0.0300183
28928,0.03
29184,0.0299827
29440,0.0299638
29696,0.0299461
29952,0.029928
30208,0.0299103
30464,0.0298931
30720,0.0298763
30976,0.0298583
31232,0.0298402
31488,0.0298225
31744,0.0298045
32000,0.0297867
32256,0.0297697
32512,0.0297522
32768,0.0297343
33024,0.0297166
33280,0.0296979
33536,0.0296811
33792,0.0296645
34048,0.0296474
34304,0.029629
34560,0.029611
34816,0.0295942
35072,0.0295761
35328,0.0295585
35584,0.0295411
35840,0.0295213
36096,0.0295034
36352,0.0294861
36608,0.0294674
36864,0.0294499
37120,0.0294333
37376,0.0294145
37632,0.0293976
37888,0.0293806
38144,0.0293621
38400,0.0293445
38656,0.0293264
38912,0.0293081
39168,0.0292901
39424,0.0292729
39680,0.0292543
39936,0.0292362
40192,0.0292188
40448,0.029202
40704,0.0291843
40960,0.0291664
41216,0.0291488
41472,0.0291304
41728,0.029113
41984,0.0290942
42240,0.0290759
42496,0.0290589
42752,0.0290418
43008,0.0290232
43264,0.0290049
43520,0.0289866
43776,0.0289693
44032,0.0289524
44288,0.028935
44544,0.0289173
44800,0.0288991
45056,0.0288818
45312,0.028863
45568,0.0288446
45824,0.0288267
46080,0.0288074
46336,0.0287896
46592,0.0287715
46848,0.0287517
47104,0.0287332
47360,0.0287148
47616,0.0286951
47872,0.0286767
48128,0.0286591
48384,0.0286411
48640,0.0286241
48896,0.028606
49152,0.0285874
49408,0.0285682
49664,0.0285495
49920,0.0285308
50176,0.0285115
50432,0.0284925
50688,0.0284737
50944,0.0284558
51200,0.0284377
51456,0.0284183
51712,0.0283999
51968,0.0283816
52224,0.0283627
52480,0.0283433
52736,0.0283253
52992,0.0283068
53248,0.0282881
53504,0.0282692
53760,0.0282497
54016,0.0282314
54272,0.0282135
54528,0.0281954
54784,0.0281754
55040,0.0281568
55296,0.0281374
55552,0.0281187
55808,0.0281001
56064,0.0280804
56320,0.0280628
56576,0.0280436
56832,0.0280248
57088,0.0280042
57344,0.0279866
57600,0.0279675
57856,0.0279491
58112,0.0279297
58368,0.0279107
58624,0.0278901
58880,0.0278706
59136,0.0278509
59392,0.0278328
59648,0.0278151
59904,0.0277958
60160,0.027777
60416,0.0277565
60672,0.0277374
60928,0.0277186
61184,0.0276999
61440,0.0276804
61696,0.0276609
61952,0.0276417
62208,0.0276215
62464,0.0276028
62720,0.0275843
62976,0.0275638
63232,0.0275444
63488,0.0275247
63744,0.0275056
64000,0.0274863
64256,0.0274679
64512,0.0274484
64768,0.0274288
65024,0.027409
65280,0.0273896
65536,0.0273703
65792,0.0273514
66048,0.027333
66304,0.0273139
66560,0.0272951
66816,0.0272755
67072,0.0272564
67328,0.0272364
67584,0.0272178
67840,0.0271982
68096,0.0271784
68352,0.0271597
68608,0.02714
68864,0.0271207
69120,0.0271021
69376,0.0270831
69632,0.0270631
69888,0.0270438
70144,0.0270238
70400,0.0270032
70656,0.0269836
70912,0.0269635
71168,0.0269441
71424,0.0269249
71680,0.0269059
71936,0.026887
72192,0.0268677
72448,0.0268473
72704,0.0268276
72960,0.0268071
73216,0.0267879
73472,0.0267686
73728,0.0267495
73984,0.0267305
74240,0.0267102
74496,0.0266902
74752,0.0266702
75008,0.0266511
75264,0.0266313
75520,0.0266115
75776,0.0265915
76032,0.0265699
76288,0.0265491
76544,0.0265284
76800,0.0265068
77056,0.026487
77312,0.0264678
77568,0.0264479
77824,0.0264284
78080,0.0264085
78336,0.0263896
78592,0.0263703
78848,0.0263495
79104,0.026329
79360,0.0263103
79616,0.0262906
79872,0.0262706
80128,0.0262501
80384,0.0262297
80640,0.0262099
80896,0.0261899
81152,0.0261685
81408,0.0261482
81664,0.0261275
81920,0.0261071
82176,0.0260875
82432,0.0260658
82688,0.0260441
82944,0.0260243
83200,0.0260043
83456,0.0259836
83712,0.0259632
83968,0.0259426
84224,0.0259222
84480,0.0259016
84736,0.0258806
84992,0.0258618
85248,0.0258418
85504,0.025821
85760,0.0258009
86016,0.0257796
86272,0.0257594
86528,0.0257391
86784,0.025719
87040,0.0256991
