reuse_time,counts
1,23898670
2,19264008
3,12108653
4,8221997
5,9316648
6,13136785
7,4195424
8,4001149
9,4405963
10,4287801
11,1943625
12,989334
13,471882
14,394401
15,381686
16,396243
17,381128
18,329477
19,245839
20,192586
21,150893
22,127440
23,135274
24,134778
25,126850
26,127653
27,134978
28,144321
29,151367
30,140339
31,106382
32,73317
33,62816
34,65507
35,61889
36,54506
37,47523
38,42292
39,37974
40,34400
41,32162
42,30219
43,27703
44,25629
45,27203
46,33093
47,43568
48,56528
49,69123
50,79146
51,85817
52,87649
53,86726
54,86618
55,88801
56,91175
57,93915
58,94519
59,94423
60,95816
61,102572
62,120636
63,147002
64,180275
65,214749
66,249501
67,289400
68,330484
69,370915
70,404380
71,424388
72,431497
73,428320
74,415415
75,389145
76,350051
77,301458
78,250808
79,211440
80,187951
81,179509
82,182745
83,191402
84,202917
85,212939
86,222361
87,226312
88,222061
89,208140
90,186962
91,159796
92,133293
93,109860
94,92268
95,77977
96,67879
97,61978
98,58842
99,58466
100,60376
101,61357
102,62608
103,62841
104,61125
105,58567
106,54956
107,51094
108,46738
109,42470
110,38764
111,34848
112,30582
113,26819
114,22584
115,18772
116,15372
117,12372
118,9887
119,7973
120,6650
121,5926
122,5466
123,5369
124,5501
125,5645
126,5888
127,6302
128,6553
129,6602
130,6396
131,6419
132,6019
133,5604
134,5557
135,5469
136,5626
137,6041
138,6392
139,6810
140,7091
141,7597
142,7934
143,8422
144,8895
145,9025
146,9380
147,9748
148,10168
149,10886
150,11727
151,12961
152,14433
153,16132
154,17477
155,18826
156,19689
157,19672
158,19954
159,19106
160,18407
161,17828
162,17553
163,17088
164,17060
165,17561
166,18192
167,18896
168,19193
169,20525
170,20692
171,20899
172,20817
173,19850
174,18358
175,16410
176,14272
177,12133
178,9820
179,8261
180,6856
181,5941
182,5517
183,5409
184,5453
185,5620
186,5890
187,6009
188,6262
189,6311
190,6342
191,6207
192,6012
193,6053
194,6035
195,6224
196,6423
197,6579
198,7069
199,7267
200,7850
201,8615
202,9537
203,11132
204,12598
205,14709
206,16959
207,19788
208,22473
209,24705
210,27041
211,28184
212,29228
213,28969
214,28097
215,26978
216,25463
217,24449
218,22728
219,21681
220,20697
221,20207
222,19378
223,18572
224,17682
225,17002
226,15479
227,14450
228,12984
229,12099
230,10990
231,10213
232,9825
233,9658
234,9433
235,9319
236,9249
237,9229
238,8869
239,8768
240,8424
241,7868
242,7669
243,7396
244,7590
245,7605
