cache_lines,MRC
256,0.0469931
512,0.0424421
768,0.0365152
1024,0.0273747
1280,0.0195585
1536,0.0152643
1792,0.0142835
2048,0.013782
2304,0.01348
2560,0.0133084
2816,0.0131401
3072,0.0129615
3328,0.0127589
3584,0.012602
3840,0.0125048
4096,0.01242
4352,0.0123284
4608,0.0122405
4864,0.0121563
5120,0.0120523
5376,0.0119432
5632,0.0118369
5888,0.0117583
6144,0.0116879
6400,0.0116197
6656,0.0115598
6912,0.0114784
7168,0.0113511
7424,0.0112204
7680,0.0111228
7936,0.0110293
8192,0.0108889
8448,0.0107603
8704,0.0105763
8960,0.0104923
9216,0.0102378
9472,0.0101526
9728,0.009856
9984,0.00976696
10240,0.00971855
10496,0.00959291
10752,0.00955688
11008,0.00948641
11264,0.00946625
11520,0.00941685
11776,0.00939985
12032,0.00935852
12288,0.00933729
12544,0.00931138
12800,0.00929352
13056,0.00927306
13312,0.00925695
13568,0.00923237
13824,0.00921368
14080,0.00918288
14336,0.00912725
14592,0.00910198
14848,0.00908834
15104,0.00907599
15360,0.00906092
15616,0.00904401
15872,0.00903126
16128,0.00901603
16384,0.00900487
16640,0.00899061
16896,0.00897825
17152,0.00895672
17408,0.00893257
17664,0.00892266
17920,0.00891454
18176,0.00889023
18432,0.00888322
18688,0.00887619
18944,0.00886797
19200,0.00885111
19456,0.00883418
19712,0.00882614
19968,0.00881853
20224,0.00881063
20480,0.00880389
20736,0.00879333
20992,0.00878674
21248,0.00877472
21504,0.00876565
21760,0.00873618
22016,0.00872896
22272,0.0087196
22528,0.0087128
22784,0.00869298
23040,0.00868008
23296,0.00867153
23552,0.00866524
23808,0.00865867
24064,0.00865374
24320,0.00864806
24576,0.00864156
24832,0.00863533
25088,0.00862871
25344,0.00862114
25600,0.00861505
25856,0.00858957
26112,0.00858131
26368,0.00857568
26624,0.00857002
26880,0.00856594
27136,0.00854193
27392,0.0085376
27648,0.00853029
27904,0.00852614
28160,0.00851818
28416,0.0085133
28672,0.00850677
28928,0.00850204
29184,0.00848979
29440,0.00848533
29696,0.0084793
29952,0.00847519
30208,0.00847059
30464,0.00846591
30720,0.00846084
30976,0.00845449
31232,0.00844845
31488,0.00844407
31744,0.00841358
32000,0.00840773
32256,0.00840341
32512,0.00839842
32768,0.00839433
33024,0.00839053
