cache_lines,MRC
256,0.0829721
512,0.0752435
768,0.0620244
1024,0.0528805
1280,0.0466477
1536,0.0423058
1792,0.0389787
2048,0.0368505
2304,0.0352123
2560,0.0340155
2816,0.0332079
3072,0.0324204
3328,0.0318079
3584,0.0313481
3840,0.0310037
4096,0.0306856
4352,0.0304067
4608,0.0301407
4864,0.0298311
5120,0.0295268
5376,0.029243
5632,0.0290174
5888,0.0288276
6144,0.0286547
6400,0.0284676
6656,0.0281395
6912,0.0279457
7168,0.0276006
7424,0.027347
7680,0.0270101
7936,0.026674
8192,0.0261532
8448,0.025932
8704,0.0252387
8960,0.0250063
9216,0.0241038
9472,0.0240069
9728,0.023648
9984,0.0235477
10240,0.023394
10496,0.0232851
10752,0.0231619
11008,0.0231046
11264,0.02299
11520,0.0229342
11776,0.0228638
12032,0.0228129
12288,0.0227574
12544,0.0227123
12800,0.0226476
13056,0.022605
13312,0.0225196
13568,0.0223657
13824,0.02231
14080,0.0222812
14336,0.0222547
14592,0.022207
14848,0.0221579
15104,0.0221278
15360,0.0220948
15616,0.0220573
15872,0.0220187
16128,0.0219523
16384,0.0219081
16640,0.0218768
16896,0.021854
17152,0.0217989
17408,0.0217825
17664,0.0217616
17920,0.0217433
18176,0.0216722
18432,0.0216526
18688,0.0216344
18944,0.0216151
19200,0.0215994
19456,0.0215717
19712,0.021553
19968,0.0215246
20224,0.021469
20480,0.0214213
20736,0.0214016
20992,0.0213788
21248,0.0213332
21504,0.0212953
21760,0.0212725
22016,0.0212567
22272,0.0212396
22528,0.0212276
22784,0.0212139
23040,0.0211986
23296,0.0211841
23552,0.0211666
23808,0.0211466
24064,0.021131
24320,0.0210658
24576,0.0210465
24832,0.0210333
25088,0.0210222
25344,0.020999
25600,0.0209521
25856,0.0209374
26112,0.0209263
26368,0.0209092
26624,0.0209009
26880,0.0208834
27136,0.0208701
27392,0.020844
27648,0.0208322
27904,0.0208206
28160,0.020809
28416,0.020798
28672,0.0207867
28928,0.0207741
29184,0.020762
29440,0.0207503
29696,0.0207217
29952,0.020659
30208,0.02065
30464,0.0206376
30720,0.0206277
30976,0.0206201
31232,0.020611
31488,0.0206029
31744,0.0205929
32000,0.0205862
32256,0.0205746
32512,0.0205641
32768,0.0205499
33024,0.0205359
33280,0.0205159
33536,0.020504
33792,0.0204956
34048,0.0204543
34304,0.0203774
34560,0.0203593
34816,0.0203327
35072,0.0203145
35328,0.0203027
35584,0.0202896
35840,0.0202791
36096,0.0202106
36352,0.0201961
36608,0.0201838
36864,0.0201643
37120,0.0201464
37376,0.0201334
37632,0.0200357
37888,0.0200287
38144,0.0200197
38400,0.0200103
38656,0.0200007
38912,0.0199158
39168,0.0199039
39424,0.0198941
39680,0.0198809
39936,0.0198714
40192,0.019852
40448,0.0196708
40704,0.0196646
40960,0.0196584
41216,0.0196534
41472,0.0196443
41728,0.0196291
41984,0.0196203
42240,0.0196108
42496,0.0196013
42752,0.0195903
43008,0.0194573
43264,0.019448
43520,0.019441
43776,0.0194333
44032,0.0193219
44288,0.0192971
44544,0.0192887
44800,0.0192818
45056,0.0192753
45312,0.0192691
45568,0.0192512
45824,0.0192356
46080,0.0192243
46336,0.0192176
46592,0.0192125
46848,0.0192029
47104,0.0191936
47360,0.0191736
47616,0.019161
47872,0.0191468
48128,0.0191394
48384,0.0191263
48640,0.0191085
48896,0.0191031
49152,0.019098
49408,0.0190922
49664,0.0190863
49920,0.019081
50176,0.0190748
50432,0.0190576
50688,0.0190478
50944,0.0190328
51200,0.0190165
51456,0.018978
51712,0.0189466
51968,0.0189328
52224,0.0189264
52480,0.0189212
52736,0.0189151
52992,0.0189102
53248,0.0189041
53504,0.0188914
53760,0.018884
54016,0.0188703
54272,0.0188559
54528,0.0188485
54784,0.0188258
55040,0.0188098
55296,0.0188002
55552,0.018794
55808,0.0187885
56064,0.0187836
56320,0.018778
56576,0.0187699
56832,0.0187505
57088,0.0187462
57344,0.0187413
57600,0.0185992
57856,0.018519
58112,0.0185114
58368,0.018503
58624,0.0184934
58880,0.0184893
59136,0.0184849
59392,0.0184795
59648,0.0184756
59904,0.0184711
60160,0.0184585
60416,0.018453
60672,0.0184477
60928,0.0184368
61184,0.0184289
61440,0.0184257
61696,0.0184215
61952,0.0184099
62208,0.0184067
62464,0.0184027
62720,0.0183975
62976,0.018393
63232,0.018389
63488,0.0183831
63744,0.0183789
64000,0.0183752
64256,0.018371
64512,0.0183662
64768,0.0183607
65024,0.0183568
65280,0.0183522
65536,0.0183479
65792,0.0183432
66048,0.0183381
66304,0.0183333
66560,0.0183301
66816,0.0183264
67072,0.0183219
67328,0.0183179
67584,0.0183123
67840,0.0180715
68096,0.0180464
68352,0.0180423
68608,0.0180383
68864,0.0180341
69120,0.0180303
69376,0.018026
69632,0.018022
69888,0.0180186
70144,0.0180141
70400,0.018009
70656,0.0180039
70912,0.0179996
71168,0.0179958
71424,0.0179916
71680,0.0179876
71936,0.0179837
72192,0.0179798
72448,0.0179758
72704,0.0179715
72960,0.0179676
73216,0.0179637
73472,0.0179593
73728,0.0179556
73984,0.0179522
74240,0.0179487
74496,0.0179446
74752,0.0179393
75008,0.0179336
75264,0.0179288
75520,0.0179234
75776,0.0179189
76032,0.0179144
76288,0.0179102
76544,0.0179068
76800,0.0179028
77056,0.0178974
77312,0.0178922
77568,0.0178878
77824,0.0178817
78080,0.0178778
78336,0.0178738
78592,0.0178704
78848,0.0178673
79104,0.0178632
79360,0.0178584
79616,0.0178512
79872,0.0178415
80128,0.0178352
80384,0.0178307
80640,0.0178268
80896,0.0178237
81152,0.0178207
81408,0.0178176
81664,0.0178141
81920,0.0178097
82176,0.0178049
82432,0.0177975
82688,0.017793
82944,0.0177891
83200,0.0177858
83456,0.0177828
83712,0.017779
83968,0.0177763
84224,0.0177733
84480,0.0177701
84736,0.0177652
84992,0.0177608
85248,0.0177528
85504,0.0177491
85760,0.017745
86016,0.0177419
86272,0.0177389
86528,0.0177348
86784,0.0177305
87040,0.0177261
87296,0.0177223
87552,0.0177192
87808,0.0177157
88064,0.017712
88320,0.0177078
88576,0.0177049
88832,0.0174483
89088,0.0173038
89344,0.0172973
89600,0.017294
89856,0.0172907
90112,0.0172875
90368,0.0172849
90624,0.0172818
