reuse_time,counts
1,4394893
2,2792211
3,1931251
4,1403102
5,1073502
6,838546
7,664034
8,536274
9,457147
10,413642
11,388927
12,364680
13,336346
14,299734
15,260855
16,222351
17,188486
18,161490
19,142911
20,129372
21,122065
22,118311
23,115876
24,114599
25,111997
26,108290
27,102618
28,96488
29,90429
30,84453
31,79429
32,74077
33,70658
34,68097
35,66017
36,64658
37,63048
38,62277
39,60953
40,58673
41,56964
42,54867
43,53094
44,50418
45,48713
46,46862
47,44893
48,43300
49,41369
50,39624
51,38104
52,36511
53,35092
54,33074
55,31559
56,30325
57,29004
58,27482
59,26711
60,25491
61,24687
62,23894
63,23201
64,22719
65,22197
66,21592
67,21153
68,20749
69,20466
70,20186
71,19795
72,19501
73,18890
74,18864
75,18663
76,18222
77,17957
78,17591
79,17068
80,16615
81,16546
82,16047
83,15633
84,15214
85,14990
86,14449
87,14375
88,13782
89,13360
90,13171
91,13125
92,12726
93,12583
94,12300
95,12279
96,11665
97,11590
98,11539
99,11294
100,11034
101,10694
102,10566
103,10425
104,10303
105,10171
106,10030
107,9582
108,9492
109,9233
110,8993
111,8914
112,8882
113,8387
114,8359
115,8400
116,8069
117,7828
118,7790
119,7750
120,7602
121,7569
122,7487
123,7368
124,7435
125,7347
126,7514
127,7450
128,7387
129,7457
130,7393
131,7329
132,7692
133,7453
134,7590
135,7804
136,7690
137,7691
138,7748
139,7785
140,7631
141,7768
142,7755
143,7861
144,7844
145,7829
146,7672
147,7786
148,7682
149,7531
150,7639
151,7651
152,7403
153,7306
154,7271
155,7198
156,7124
157,6984
158,6711
159,6637
160,6578
161,6362
162,6279
163,6242
164,5954
165,5839
166,5855
167,5632
168,5451
169,5314
170,5067
171,4988
172,4909
173,4823
174,4500
175,4511
176,4274
177,4311
178,4071
179,4007
180,3942
181,3899
182,3853
183,3631
184,3697
185,3544
186,3356
187,3274
188,3250
189,3202
190,3263
191,3183
192,3262
193,3070
194,3088
195,3083
196,3100
197,3037
198,3005
199,2956
200,2973
201,3082
202,2913
203,3047
204,2947
205,2987
206,2938
207,3021
208,2984
209,2879
210,3003
211,2950
212,2985
213,2985
214,3061
215,2926
216,3039
217,3005
218,3051
219,2956
220,2907
221,2942
222,2847
223,2968
224,2918
225,2767
226,2807
227,2699
228,2727
229,2683
230,2639
231,2678
232,2585
233,2512
234,2476
235,2434
236,2398
237,2402
238,2305
239,2375
240,2310
241,2195
242,2243
243,2221
244,2113
245,2256
246,2161
247,2208
248,2150
249,2169
250,2189
251,2234
252,2203
253,2276
254,2241
255,2257
256,2360
258,4649
260,4953
262,5246
264,5515
266,5753
268,6193
270,6459
272,6807
274,7131
276,7569
278,7761
280,8230
282,8476
284,8820
286,9001
288,9194
290,9455
292,9667
294,9949
296,9984
298,10309
300,10345
302,10619
304,10566
306,10589
308,10603
310,10519
312,10486
314,10320
316,10321
318,10347
320,10282
322,10353
324,10366
326,10442
328,10500
330,10598
332,10654
334,10838
336,11017
338,10852
340,10938
342,10682
344,10706
346,10168
348,9977
350,9599
352,8860
354,8474
356,7897
358,7416
360,6838
362,6241
364,5870
366,5399
368,4971
370,4697
372,4363
374,4301
376,4065
378,3947
380,3795
382,3902
384,3783
386,3747
388,3830
390,3876
392,3844
394,3901
396,3858
398,3835
400,3720
402,3596
404,3572
406,3458
408,3422
410,3252
412,3040
414,2969
416,2907
418,2710
420,2526
422,2445
424,2284
426,2073
428,1939
430,1904
432,1790
434,1713
436,1820
438,1607
440,1556
442,1469
444,1481
446,1356
448,1294
450,1375
452,1265
454,1248
456,1272
458,1257
460,1209
462,1151
464,1121
466,1037
468,1122
470,1133
472,1121
474,1059
476,1032
478,1044
480,1058
482,965
484,1024
486,1032
488,1055
490,1086
492,1120
494,1020
496,1037
498,1044
500,1061
502,1042
504,1078
506,1119
508,1097
510,1088
512,1080
514,1053
516,1056
518,1060
520,1088
522,1052
524,1128
526,1086
528,1020
530,1106
532,1135
534,1085
536,1097
538,1118
540,1075
542,1094
544,1107
546,1124
548,1142
550,1130
552,1132
554,1163
556,1125
558,1155
560,1096
562,1151
564,1079
566,1179
568,1153
570,1121
572,1107
574,1156
576,1134
578,1142
580,1164
582,1094
584,1017
586,1122
588,1044
590,1170
592,1105
594,1102
596,1191
598,1128
600,1143
602,1137
604,1199
606,1249
608,1209
610,1260
612,1211
614,1217
616,1290
618,1234
620,1214
622,1253
624,1245
626,1186
628,1280
630,1194
632,1313
634,1284
636,1287
638,1291
640,1290
642,1371
644,1351
646,1415
648,1522
650,1581
652,1725
654,1759
656,1908
658,2056
660,2137
662,2229
664,2383
666,2515
668,2523
670,2635
672,2731
674,2854
676,2988
678,2934
680,2987
682,3070
684,3016
686,2933
688,2960
690,2932
692,2827
694,2634
696,2584
698,2632
700,2340
702,2291
704,2219
706,1978
708,1928
710,1842
712,1690
714,1547
716,1461
718,1397
720,1302
722,1149
724,1124
726,1064
728,1042
730,1010
732,959
734,960
736,896
738,842
740,905
742,863
744,917
746,857
748,858
750,900
752,825
754,890
756,929
758,945
760,926
762,909
764,907
766,1010
768,1007
772,1968
776,1972
780,1980
784,1974
788,1933
792,1951
796,1881
800,1835
804,1799
808,1655
812,1629
816,1530
820,1490
824,1358
828,1325
832,1330
836,1194
840,1098
844,1067
848,971
852,1039
856,899
860,900
864,880
868,889
872,862
876,837
880,761
884,795
888,795
892,796
896,782
900,772
904,812
908,843
912,801
916,810
920,814
924,880
928,840
932,860
936,893
940,832
944,854
948,818
952,767
956,823
960,854
964,880
968,900
972,934
976,1032
980,1024
984,1209
988,1312
992,1503
996,1586
1000,1740
1004,1973
1008,2007
1012,2249
1016,2310
1020,2305
1024,2341
1028,2362
1032,2371
1036,2196
1040,2130
1044,2072
1048,1895
1052,1661
1056,1554
1060,1367
1064,1229
1068,1073
1072,986
1076,910
1080,862
1084,762
1088,762
1092,722
1096,748
1100,737
1104,670
1108,664
1112,679
1116,644
1120,708
1124,742
1128,705
1132,743
1136,750
1140,708
1144,731
1148,758
1152,739
1156,791
1160,805
1164,812
1168,828
1172,835
1176,859
1180,800
1184,851
1188,862
1192,853
1196,833
1200,841
1204,938
1208,877
1212,930
1216,890
1220,855
1224,905
1228,906
1232,889
1236,929
1240,838
1244,856
1248,879
1252,892
1256,868
1260,802
1264,759
1268,771
1272,761
1276,765
1280,728
1284,732
1288,675
1292,699
1296,720
1300,726
1304,710
1308,785
1312,823
1316,817
1320,918
1324,922
1328,976
1332,1010
1336,1085
1340,1144
1344,1182
1348,1208
1352,1294
1356,1346
1360,1385
1364,1388
1368,1375
1372,1382
1376,1350
1380,1286
1384,1269
1388,1274
1392,1159
1396,1082
1400,1096
1404,1020
1408,990
1412,932
1416,830
1420,766
1424,701
1428,709
1432,665
1436,616
1440,646
1444,650
1448,590
1452,602
1456,602
1460,574
1464,548
1468,603
1472,646
1476,601
1480,640
1484,655
1488,635
1492,638
1496,659
1500,666
1504,778
1508,730
1512,755
1516,789
1520,838
1524,867
1528,956
1532,989
1536,1035
1540,1075
1544,1151
1548,1199
1552,1266
1556,1338
1560,1364
1564,1416
1568,1295
1572,1412
1576,1374
1580,1414
1584,1281
1588,1313
1592,1256
1596,1156
1600,1106
1604,1146
1608,1004
1612,995
1616,887
1620,910
1624,807
1628,792
1632,772
1636,771
1640,671
1644,669
1648,704
1652,643
1656,702
1660,641
1664,635
1668,656
1672,674
1676,724
1680,737
1684,705
1688,772
1692,827
1696,814
1700,802
1704,831
1708,819
1712,844
1716,821
1720,794
1724,798
1728,779
1732,731
1736,768
1740,696
1744,661
1748,686
1752,611
1756,543
1760,516
1764,519
1768,510
1772,451
1776,469
1780,450
1784,402
1788,438
1792,402
1800,735
1808,766
1816,736
1824,747
1832,718
1840,736
1848,728
1856,775
1864,735
1872,720
1880,700
1888,694
1896,752
1904,709
1912,761
1920,775
1928,736
1936,847
1944,869
1952,990
1960,1025
1968,1002
1976,1092
1984,1217
1992,1282
2000,1308
2008,1414
2016,1430
2024,1479
2032,1570
2040,1612
2048,1519
2056,1433
2064,1495
2072,1358
2080,1257
2088,1198
2096,1088
2104,970
2112,883
2120,829
2128,810
2136,769
2144,761
2152,686
2160,666
