reuse_time,counts
1,17088383
2,10049285
3,12692598
4,5497835
5,1917963
6,2555137
7,1098610
8,2568052
9,1552893
10,1307845
11,512892
12,555608
13,550340
14,1847759
15,340512
16,480642
17,208152
18,4266906
19,82260
20,1595517
21,184932
22,823629
23,37568
24,52495
25,66596
26,77977
27,187552
28,73420
29,123429
30,109942
31,58684
32,423072
33,221629
34,55541
35,84383
36,64597
37,146026
38,488146
39,342906
40,64219
41,102595
42,825432
43,458985
44,2656641
45,28198
46,52375
47,59335
48,123453
49,84704
50,424160
51,62887
52,130506
53,89525
54,22789
55,20025
56,95432
57,48669
58,14234
59,26014
60,14477
61,11511
62,14806
63,14460
64,44856
65,14321
66,14318
67,10064
68,10920
69,23726
70,22725
71,79201
72,14219
73,13635
74,8844
75,9030
76,6184
77,10365
78,13982
79,8255
80,8355
81,7724
82,37579
83,8519
84,7463
85,6589
86,14443
87,15294
88,13388
89,25460
90,10870
91,10674
92,13658
93,13192
94,14450
95,19370
96,30829
97,10375
98,14965
99,12413
100,41626
101,10116
102,10676
103,8754
104,21675
105,6839
106,10719
107,13774
108,12281
109,7626
110,10430
111,9452
112,10309
113,13865
114,7168
115,7158
116,10014
117,8149
118,7437
119,12996
120,40257
121,7894
122,15447
123,7930
124,7884
125,15358
126,8783
127,7713
128,20429
129,11024
130,9788
131,17387
132,10039
133,11535
134,15575
135,11021
136,8886
137,18171
138,40637
139,9103
140,19198
141,18297
142,16204
143,40245
144,9351
145,9010
146,14796
147,7620
148,8044
149,14859
150,13379
151,11229
152,14189
153,11081
154,9487
155,17850
156,41825
157,18150
158,16746
159,13167
160,14175
161,18503
162,9555
163,10576
164,18844
165,11993
166,9028
167,21079
168,8486
169,9762
170,12379
171,8917
172,7620
173,12623
174,8897
175,7954
176,15584
177,11846
178,8326
179,13253
180,8195
181,7258
182,15315
183,8675
184,9870
185,14522
186,5062
187,5778
188,8971
189,5348
190,5738
191,8838
192,4353
193,4715
194,10111
195,5478
196,5069
197,8311
198,5076
199,4818
200,9083
201,4471
202,4388
203,7910
204,4131
205,4692
206,8980
207,4877
208,6752
209,8246
210,10571
211,4275
212,8409
213,4719
214,4469
215,9315
216,4768
217,5565
218,7130
219,4255
220,4117
221,7675
222,6763
223,4152
224,9355
225,3884
226,4321
227,11177
228,3303
229,4845
230,8769
231,6545
232,7230
233,17948
234,2961
235,3842
236,6052
237,3695
238,3574
239,7508
240,2844
241,3622
242,5596
243,3400
244,3681
245,9697
246,5552
247,4865
248,6236
249,2903
250,3830
251,5906
252,3447
253,5036
254,8695
255,4541
256,5781
258,432870
260,11162
262,8278
264,9630
266,11147
268,8278
270,10601
272,13355
274,9641
276,12897
278,12868
280,6867
282,8706
284,9792
286,7328
288,8114
290,9337
292,6936
294,7504
296,8492
298,7461
300,29470
302,8812
304,7681
306,7976
308,7448
310,6206
312,6495
314,6189
316,6350
318,7048
320,6021
322,5769
324,7365
326,6380
328,6100
330,5831
332,5534
334,4840
336,8222
338,6002
340,4860
342,5080
344,5722
346,5437
348,6005
350,7148
352,5196
354,5930
356,20953
358,13014
360,31496
362,6726
364,8223
366,5077
368,5861
370,6812
372,6985
374,5777
376,8151
378,5427
380,5352
382,4797
384,8250
386,5323
388,5532
390,6540
392,5612
394,4916
396,6431
398,6372
400,7406
402,9844
404,6014
406,4978
408,5366
410,5546
412,5264
414,5675
416,4544
418,3932
420,4486
422,4907
424,4271
426,4122
428,3990
430,3285
432,3482
434,3715
436,7718
438,5511
440,9265
442,4674
444,4543
446,4046
448,6318
450,4381
452,3465
454,5821
456,4551
458,6087
460,3941
462,3934
464,5504
466,7944
468,6919
470,3997
472,12955
474,5946
476,3712
478,3704
480,9951
482,5777
484,3693
486,6961
488,13968
490,3990
492,6810
494,3493
496,3433
498,3559
500,3655
502,5926
504,5883
506,4286
508,3016
510,3491
512,3013
514,3112
516,3342
518,3154
520,3169
522,3140
524,2517
526,2973
528,3234
530,6193
532,4508
534,2589
536,10856
538,3342
540,15135
542,17694
544,3074
546,2306
548,2762
550,2945
552,7769
554,2302
556,3086
558,4985
560,9630
562,2472
564,4604
566,2032
568,5038
570,2497
572,2301
574,2536
576,2704
578,2539
580,2747
582,10487
584,20716
586,2020
588,4200
590,1903
592,2111
594,2287
596,1805
598,2392
600,2311
602,1797
604,2012
606,1966
608,1712
610,1848
612,1842
614,2201
616,2516
618,2407
620,2476
622,1900
624,2642
626,2738
628,2138
630,2702
632,2520
634,2061
636,2672
638,2433
640,2094
642,2530
644,2857
646,2061
648,2082
650,2551
652,1884
654,1965
656,2404
658,1785
660,2270
662,2253
664,2268
666,2005
668,2293
670,2460
672,1715
674,1726
676,2024
678,1582
680,1588
682,1628
684,1546
686,1549
688,1697
690,1968
692,1745
694,1959
696,1816
698,1532
700,1621
702,1907
704,2289
706,1861
708,2247
710,1628
712,2200
714,2260
716,1546
718,1385
720,2682
722,1385
724,1470
726,1652
728,1386
730,1353
732,1957
734,1829
736,1463
738,1787
740,1322
742,1539
744,1439
746,1581
748,1455
750,1738
752,2424
754,1512
756,2317
758,2011
760,1330
762,2026
764,2019
766,1340
768,2152
772,3320
776,3190
780,2543
784,2711
788,3036
792,3870
796,3120
800,3339
804,3017
808,2927
812,2421
816,3064
820,2882
824,2352
828,2477
832,2260
836,2875
840,3104
844,2741
848,2777
852,2581
856,2045
860,2604
864,2039
868,1999
872,2050
876,2219
880,2762
884,2790
888,2962
892,2497
896,2194
900,1783
904,2277
908,2188
912,1732
916,1738
920,1956
924,2056
928,2553
932,2377
936,15494
940,1708
944,4410
948,2144
952,2561
956,4661
960,2200
964,1779
968,2039
972,18893
976,2510
980,39915
984,9767
988,3457
992,9282
996,4203
1000,4923
1004,1704
1008,1562
1012,1410
1016,2727
1020,2401
1024,2472
1028,1692
1032,1819
1036,1635
1040,1695
1044,7179
1048,34124
1052,5662
1056,24395
1060,2025
1064,24831
1068,2414
1072,31126
1076,4690
1080,6024
1084,6978
1088,2927
1092,14803
1096,28481
1100,1384
1104,1849
1108,1752
1112,1923
1116,1489
1120,1834
1124,1986
1128,1968
1132,1268
1136,1172
1140,1047
1144,912
1148,1813
1152,1719
1156,1589
1160,1158
1164,3998
1168,1080
1172,969
1176,974
1180,1384
1184,1045
1188,997
1192,232602
1196,474484
1200,11746
1204,931
1208,1023
1212,1119
1216,855
1220,740
1224,928
1228,890
1232,862
1236,873
1240,835
1244,819
1248,2492
1252,976
1256,1273
1260,28143
1264,1262
1268,2015
1272,1143
1276,3652
1280,942
1284,1038
1288,2034
1292,792
1296,1276
1300,1657
1304,3589
1308,1120
1312,4344
1316,862
1320,1103
1324,1226
1328,842
1332,972
1336,913
1340,965
1344,1098
1348,1647
1352,2355
1356,3153
1360,2877
1364,2295
1368,10068
1372,784
