cache_lines,MRC
256,0.0371394
512,0.0333864
768,0.0289859
1024,0.0220358
1280,0.0151859
1536,0.0111499
1792,0.0106459
2048,0.0104344
2304,0.0102331
2560,0.0101041
2816,0.00998172
3072,0.00984817
3328,0.00969822
3584,0.00957373
3840,0.00949938
4096,0.00943531
4352,0.00937376
4608,0.00930659
4864,0.00924086
5120,0.00916424
5376,0.00908859
5632,0.00900158
5888,0.00893962
6144,0.00888912
6400,0.00883646
6656,0.00879168
6912,0.00873922
7168,0.00863855
7424,0.0085785
7680,0.00846763
7936,0.008408
8192,0.00833138
8448,0.00822307
8704,0.00805753
8960,0.00799958
9216,0.00793926
9472,0.00775132
9728,0.00763262
9984,0.00743192
10240,0.00740167
10496,0.00729789
10752,0.00727213
11008,0.00721666
11264,0.00719742
11520,0.00716562
11776,0.00714779
12032,0.0071205
12288,0.00710547
12544,0.00708967
12800,0.00706984
13056,0.00705288
13312,0.0070366
13568,0.00702506
13824,0.00700427
14080,0.00699474
14336,0.00696541
14592,0.0069234
14848,0.00690757
15104,0.0069012
15360,0.00689114
15616,0.00687933
15872,0.00686449
16128,0.00685698
16384,0.0068458
16640,0.0068367
16896,0.0068264
17152,0.00681404
17408,0.00679087
17664,0.00678343
17920,0.00677507
18176,0.00676957
18432,0.0067509
18688,0.00674576
18944,0.0067408
19200,0.00673411
19456,0.00672087
19712,0.00670829
19968,0.00670191
20224,0.00669613
20480,0.00669039
20736,0.00668541
20992,0.0066773
21248,0.00667207
21504,0.00666291
21760,0.00665704
22016,0.00663393
22272,0.00662814
22528,0.00662062
22784,0.00661527
23040,0.00660116
23296,0.00659117
23552,0.00658445
23808,0.00657995
24064,0.00657457
24320,0.00657097
24576,0.00656659
24832,0.00656217
25088,0.00655743
25344,0.00655313
25600,0.0065468
25856,0.0065418
26112,0.00652205
26368,0.00651611
26624,0.00651068
26880,0.00650616
27136,0.00650216
27392,0.00648615
27648,0.00648048
27904,0.00647486
28160,0.00647169
28416,0.0064663
28672,0.00646261
28928,0.00645741
29184,0.00645326
29440,0.00644801
29696,0.00644044
29952,0.00643569
30208,0.00643257
30464,0.00642795
30720,0.00642462
30976,0.00642035
31232,0.00641604
31488,0.00641152
31744,0.00640717
32000,0.0064037
32256,0.00637894
32512,0.00637582
32768,0.00637189
33024,0.00636837
33280,0.00636497
33536,0.00636207
33792,0.00635853
34048,0.0063556
34304,0.00635216
34560,0.00634948
34816,0.00634539
35072,0.00634216
35328,0.00633714
35584,0.00633301
35840,0.00632498
36096,0.00632103
36352,0.00631659
36608,0.00631357
36864,0.0062821
37120,0.00627877
37376,0.00627009
37632,0.00626313
37888,0.00625803
38144,0.00625411
38400,0.00624943
38656,0.00624592
38912,0.00623545
39168,0.0062229
39424,0.00621965
39680,0.0062156
39936,0.00620632
40192,0.00620302
40448,0.0061982
40704,0.0061703
40960,0.00616753
41216,0.00616432
41472,0.00616151
41728,0.00615797
41984,0.0061331
42240,0.00612924
42496,0.00612611
42752,0.00612154
43008,0.00611837
43264,0.00611207
43520,0.00605893
43776,0.00605553
44032,0.00605276
44288,0.00605034
44544,0.00604819
44800,0.00604266
45056,0.00603947
45312,0.00603597
45568,0.00603269
45824,0.00602918
46080,0.00602556
46336,0.0060058
46592,0.00598166
46848,0.00597905
47104,0.00597651
47360,0.00597376
47616,0.00593527
47872,0.00593229
48128,0.00592898
48384,0.00592634
48640,0.00592378
48896,0.00592102
49152,0.00591667
49408,0.00591032
49664,0.00590658
49920,0.00590424
50176,0.00590182
50432,0.00589928
50688,0.00589574
50944,0.0058929
51200,0.0058865
51456,0.00588104
51712,0.0058773
51968,0.0058745
52224,0.00587047
52480,0.00586481
