cache_lines,MRC
256,0.0261214
512,0.00685874
768,0.00289622
1024,0.0014601
1280,0.000854937
1536,0.000574851
1792,0.000430245
2048,0.000347026
2304,0.00028809
2560,0.000242876
2816,0.000199889
3072,0.000150126
3328,0.000101425
3584,6.35053e-05
3840,3.77937e-05
4096,2.10302e-05
4352,1.26122e-05
4608,9.85556e-06
4864,8.20227e-06
5120,6.96468e-06
5376,5.34833e-06
5632,4.20226e-06
5888,3.1236e-06
6144,2.47192e-06
6400,2.2472e-06
6656,2.20225e-06
6912,2.11236e-06
7168,2.04495e-06
7424,2e-06
7680,2e-06
7936,2e-06
8192,1.97753e-06
8448,1.97753e-06
8704,1.95506e-06
8960,1.95506e-06
9216,1.95506e-06
9472,1.95506e-06
9728,1.94963e-06
9984,1.93259e-06
10240,1.93259e-06
10496,1.93259e-06
10752,1.91012e-06
11008,1.91012e-06
11264,1.88764e-06
11520,1.88764e-06
11776,1.88764e-06
12032,1.88764e-06
12288,1.88764e-06
12544,1.88764e-06
12800,1.88764e-06
13056,1.88764e-06
13312,1.88764e-06
13568,1.88764e-06
13824,1.88764e-06
14080,1.88764e-06
14336,1.86517e-06
14592,1.86517e-06
14848,1.86517e-06
15104,1.8427e-06
15360,1.8427e-06
15616,1.8427e-06
15872,1.8427e-06
16128,1.8427e-06
16384,1.8427e-06
16640,1.82023e-06
16896,1.82023e-06
17152,1.82023e-06
17408,1.82023e-06
17664,1.82023e-06
17920,1.82023e-06
18176,1.82023e-06
18432,1.82023e-06
18688,1.77528e-06
18944,1.75281e-06
19200,1.75281e-06
19456,1.75281e-06
19712,1.75281e-06
19968,1.75281e-06
20224,1.75281e-06
20480,1.75281e-06
20736,1.75281e-06
20992,1.75281e-06
21248,1.75281e-06
21504,1.75281e-06
21760,1.75281e-06
22016,1.75281e-06
22272,1.73034e-06
22528,1.71973e-06
22784,1.70787e-06
23040,1.70787e-06
23296,1.68816e-06
23552,1.6854e-06
23808,1.6854e-06
24064,1.6854e-06
24320,1.6854e-06
24576,1.6854e-06
24832,1.6854e-06
25088,1.6854e-06
25344,1.6854e-06
25600,1.6854e-06
25856,1.66293e-06
26112,1.66293e-06
26368,1.66293e-06
26624,1.66293e-06
26880,1.64045e-06
27136,1.61798e-06
27392,1.61798e-06
27648,1.61798e-06
27904,1.61798e-06
28160,1.61798e-06
28416,1.61798e-06
28672,1.61798e-06
28928,1.61798e-06
29184,1.61798e-06
29440,1.61798e-06
29696,1.61798e-06
29952,1.61798e-06
30208,1.59853e-06
30464,1.55057e-06
30720,1.55057e-06
30976,1.55057e-06
31232,1.52809e-06
31488,1.52809e-06
31744,1.43451e-06
32000,1.34832e-07
32256,1.34832e-07
32512,1.34832e-07
32768,1.34832e-07
33024,1.34832e-07
33280,1.34832e-07
33536,1.34832e-07
33792,1.34832e-07
34048,1.34832e-07
34304,1.34832e-07
34560,1.34832e-07
34816,1.34832e-07
35072,1.34832e-07
35328,1.34832e-07
35584,1.34832e-07
35840,1.34832e-07
36096,1.34832e-07
36352,1.34832e-07
36608,1.34832e-07
36864,1.34832e-07
37120,1.34832e-07
37376,1.34832e-07
37632,1.34832e-07
37888,1.34832e-07
38144,1.34832e-07
38400,1.34832e-07
38656,1.34832e-07
38912,1.34832e-07
39168,1.34832e-07
39424,1.34832e-07
39680,1.34832e-07
39936,1.34832e-07
40192,1.34832e-07
40448,1.34832e-07
40704,1.34832e-07
40960,1.34832e-07
41216,1.34832e-07
41472,1.34832e-07
41728,1.34832e-07
41984,1.34832e-07
42240,1.34832e-07
42496,1.34832e-07
42752,1.34832e-07
43008,1.34832e-07
43264,1.34832e-07
43520,1.34832e-07
43776,1.34832e-07
44032,1.34832e-07
44288,1.34832e-07
44544,1.34832e-07
44800,1.34832e-07
45056,1.34832e-07
45312,1.34832e-07
45568,1.34832e-07
45824,1.34832e-07
46080,1.34832e-07
46336,1.34832e-07
46592,1.34832e-07
46848,1.34832e-07
47104,1.34832e-07
47360,1.34832e-07
47616,1.34832e-07
47872,1.34832e-07
48128,1.34832e-07
48384,1.34832e-07
48640,1.34832e-07
48896,1.34832e-07
49152,1.34832e-07
49408,1.34832e-07
49664,1.34832e-07
49920,1.34832e-07
