cache_lines,MRC
256,0.0319001
512,0.00847638
768,0.00379806
1024,0.00207276
1280,0.00129553
1536,0.000920448
1792,0.000706629
2048,0.000573518
2304,0.000478977
2560,0.000394009
2816,0.000314623
3072,0.000227603
3328,0.0001496
3584,9.38938e-05
3840,5.40634e-05
4096,3.23622e-05
4352,2.00305e-05
4608,1.56189e-05
4864,1.34875e-05
5120,1.02426e-05
5376,7.62314e-06
5632,5.51254e-06
5888,4.04209e-06
6144,3.57117e-06
6400,3.21797e-06
6656,3.10024e-06
6912,3.061e-06
7168,3.02176e-06
7424,2.98251e-06
7680,2.90403e-06
7936,2.86478e-06
8192,2.86478e-06
8448,2.82554e-06
8704,2.82554e-06
8960,2.82554e-06
9216,2.7863e-06
9472,2.7863e-06
9728,2.7863e-06
9984,2.7863e-06
10240,2.7863e-06
10496,2.7025e-06
10752,2.66857e-06
11008,2.66857e-06
11264,2.66857e-06
11520,2.66857e-06
11776,2.62932e-06
12032,2.62932e-06
12288,2.62932e-06
12544,2.59008e-06
12800,2.59008e-06
13056,2.55084e-06
13312,2.55084e-06
13568,2.55084e-06
13824,2.55084e-06
14080,2.47861e-06
14336,2.47235e-06
14592,2.47235e-06
14848,2.47235e-06
15104,2.47235e-06
15360,2.47235e-06
15616,2.47235e-06
15872,2.43311e-06
16128,2.43311e-06
16384,2.43311e-06
16640,2.43311e-06
16896,2.43311e-06
17152,2.43115e-06
17408,2.39386e-06
17664,2.39386e-06
17920,2.39386e-06
18176,2.39386e-06
18432,2.39386e-06
18688,2.39386e-06
18944,2.35462e-06
19200,2.35462e-06
19456,2.35462e-06
19712,2.35462e-06
19968,2.35462e-06
20224,2.31538e-06
20480,2.31538e-06
20736,2.31538e-06
20992,2.31538e-06
21248,2.31538e-06
21504,2.31538e-06
21760,2.31538e-06
22016,2.31538e-06
22272,2.31538e-06
22528,2.31538e-06
22784,2.31538e-06
23040,2.31538e-06
23296,2.31538e-06
23552,2.31538e-06
23808,2.31538e-06
24064,2.31538e-06
24320,2.31538e-06
24576,2.31538e-06
24832,2.31538e-06
25088,2.31538e-06
25344,1.6922e-06
25600,1.21656e-06
25856,9.81097e-07
26112,9.81097e-07
26368,9.81097e-07
26624,7.03235e-07
26880,1.56984e-07
27136,1.56984e-07
27392,1.56984e-07
27648,1.56984e-07
27904,1.56984e-07
28160,1.56984e-07
28416,1.56984e-07
28672,1.56984e-07
28928,1.56984e-07
29184,1.56984e-07
29440,1.56984e-07
29696,1.56984e-07
29952,1.56984e-07
