cache_lines,MRC
256,0.02657751
512,0.00315379
768,-0.0015245300000000005
1024,6.916769999999999E-4
1280,-8.555299999999993E-5
1536,-4.6063499999999993E-4
1792,9.66919999999999E-5
2048,-3.64190000000001E-5
2304,-1.3096000000000006E-4
2560,5.223000000000055E-6
2816,-7.416299999999997E-5
3072,-1.6118299999999996E-4
3328,-1.25774E-4
3584,-1.814802E-4
3840,-2.213106E-4
4096,-1.2279370000000002E-4
4352,-1.3512540000000002E-4
4608,-1.3953700000000002E-4
4864,-4.643980000000001E-5
5120,-4.96847E-5
5376,-5.2304160000000004E-5
5632,-1.176646E-5
5888,-1.3236910000000003E-5
6144,-1.3707830000000002E-5
6400,-5.27079E-6
6656,-5.38852E-6
6912,-5.42776E-6
7168,-1.8732900000000005E-6
7424,-1.9125400000000006E-6
