cache_lines,MRC
256,0.0127612
512,0.003118539611982135
768,0.0013263083443695103
1024,6.91677E-4
1280,4.253818088242925E-4
1536,3.0197890571163975E-4
1792,2.35756E-4
2048,1.8611192005298663E-4
2304,1.497583953169626E-4
2560,1.18635E-4
2816,9.714734442799983E-5
3072,7.288339238978737E-5
3328,5.03291E-5
3584,3.4104606669541586E-5
3840,2.2113556709585183E-5
4096,1.50832E-5
4352,8.895174852920082E-6
4608,7.104150372763105E-6
4864,6.03316E-6
5120,5.370404492571537E-6
5376,4.667986967697915E-6
5632,4.0449E-6
5888,3.2850173858766128E-6
6144,2.9593595435064506E-6
6400,2.74224E-6
6656,2.4222933333333332E-6
6912,2.26232E-6
7168,2.26232E-6
7424,2.0566519525261675E-6
7680,1.85095E-6
