cache_lines,MRC
256,0.0127612
512,0.0032828781890185295
768,0.001389813274703007
1024,6.91677E-4
1280,4.3229083657204183E-4
1536,3.071141437643974E-4
1792,2.35756E-4
2048,1.8588685077410274E-4
2304,1.50467695054699E-4
2560,1.18635E-4
2816,9.64486968057641E-5
3072,7.212889099664904E-5
3328,5.03291E-5
3584,3.3581812396684344E-5
3840,2.160736136331456E-5
4096,1.50832E-5
4352,9.170397239267381E-6
4608,7.055123541460263E-6
4864,6.03316E-6
5120,5.224164735572341E-6
5376,4.571099699559622E-6
5632,4.0449E-6
5888,3.210104636598578E-6
6144,2.942756659766318E-6
6400,2.74224E-6
6656,2.454278216196931E-6
6912,2.3582991080984655E-6
7168,2.26232E-6
7424,2.159464397375462E-6
7680,1.953805602624538E-6
