cache_lines,MRC
256,0.020284807000000002
512,0.004835867
768,0.0017810270000000001
1024,6.91677E-4
1280,2.4371799999999997E-4
1536,4.147199999999997E-5
1792,-6.0344000000000044E-5
2048,1.88674E-4
2304,1.4950900000000004E-4
2560,1.18635E-4
2816,9.154100000000001E-5
3072,5.830000000000001E-5
3328,2.8200300000000015E-5
3584,-2.9439999999998824E-7
3840,2.612E-5
4096,1.50832E-5
4352,7.195400000000001E-6
4608,4.625330000000002E-6
4864,3.3144800000000013E-6
5120,2.2758200000000017E-6
5376,1.4745200000000014E-6
5632,4.0449E-6
5888,3.16133E-6
6144,2.4143500000000004E-6
6400,1.8873000000000001E-6
6656,1.6326300000000002E-6
6912,1.3779700000000002E-6
7168,1.2131900000000002E-6
7424,2.21738E-6
7680,2.17244E-6
7936,2.14247E-6
8192,2.1125100000000004E-6
8448,2.08255E-6
8704,2.06757E-6
