cache_lines,MRC
256,0.0549547
512,0.0527974
768,0.0478989
1024,0.0462317
1280,0.0456965
1536,0.0395225
1792,0.0367129
2048,0.0338755
2304,0.0303056
2560,0.0266853
2816,0.0242936
3072,0.0239439
3328,0.0237414
3584,0.0210405
3840,0.0203655
4096,0.0200599
4352,0.0197625
4608,0.019526
4864,0.0193045
5120,0.0190316
5376,0.0187302
5632,0.0184057
5888,0.0180253
6144,0.0175403
6400,0.0170293
6656,0.0165644
6912,0.0162215
7168,0.0158227
7424,0.0153869
7680,0.0149597
7936,0.0144187
8192,0.0140215
8448,0.0133558
8704,0.0127059
8960,0.0117633
9216,0.00998312
9472,0.00899001
9728,0.00867225
9984,0.00856335
10240,0.00849223
10496,0.00836457
10752,0.00822436
11008,0.0078171
11264,0.00732036
11520,0.0071342
11776,0.00699794
12032,0.00682244
12288,0.00664599
12544,0.0065714
12800,0.00648622
13056,0.00641905
13312,0.00637122
13568,0.00627032
13824,0.00623047
14080,0.00618726
14336,0.00614917
14592,0.00610799
14848,0.00606699
15104,0.00601208
15360,0.00596472
15616,0.00591108
15872,0.00587613
16128,0.00584017
16384,0.00580035
16640,0.00577508
16896,0.00570834
17152,0.00568573
17408,0.0056604
17664,0.00563575
17920,0.0056164
18176,0.0055955
18432,0.00556973
18688,0.00554819
18944,0.00552087
19200,0.00549653
19456,0.00547171
19712,0.00544833
19968,0.00542471
20224,0.00539614
20480,0.00537561
20736,0.00535927
20992,0.00533113
21248,0.00531281
21504,0.005291
21760,0.00527657
22016,0.00525457
22272,0.00523132
22528,0.00520982
22784,0.00518571
23040,0.00516179
23296,0.00513725
23552,0.00511488
23808,0.00509359
24064,0.00507388
24320,0.00505467
24576,0.00503701
24832,0.00501767
25088,0.00499933
25344,0.00497864
25600,0.00494733
25856,0.00492882
26112,0.00489983
26368,0.00487386
26624,0.0048439
26880,0.00481398
27136,0.0047844
27392,0.00475606
27648,0.00472619
27904,0.00470067
28160,0.00466238
28416,0.0046387
28672,0.00461532
28928,0.00458772
29184,0.00453679
29440,0.00449577
29696,0.00446142
29952,0.0044275
30208,0.00438926
30464,0.00435174
30720,0.0043221
30976,0.00429314
31232,0.00426728
31488,0.004243
31744,0.00421819
32000,0.00418832
32256,0.00416443
32512,0.00413941
32768,0.00411306
33024,0.0040138
33280,0.00388049
33536,0.00380106
33792,0.00377496
34048,0.00375161
34304,0.00371835
34560,0.00369111
34816,0.00355993
35072,0.00353223
35328,0.00351211
35584,0.00349408
35840,0.00347321
36096,0.00345488
36352,0.00343616
36608,0.00341387
36864,0.00339668
37120,0.00337681
37376,0.00335644
37632,0.00333377
37888,0.00331777
38144,0.00330208
38400,0.00328456
38656,0.00327049
38912,0.00325712
39168,0.00324542
39424,0.00323181
39680,0.00321489
39936,0.00320481
40192,0.00319436
40448,0.00314497
40704,0.00301745
40960,0.0030038
41216,0.0029918
41472,0.00297722
41728,0.0029683
41984,0.00295287
42240,0.00293536
42496,0.0029206
42752,0.00291098
43008,0.00290083
43264,0.00288536
43520,0.00287328
43776,0.00286141
44032,0.00284977
44288,0.00283946
44544,0.00283048
44800,0.00282288
45056,0.00281683
45312,0.0027818
45568,0.00276442
45824,0.00274899
46080,0.00272969
46336,0.00271721
46592,0.00270879
46848,0.00269887
47104,0.00268967
47360,0.00268205
47616,0.00260808
47872,0.00258531
48128,0.00257513
48384,0.0025673
48640,0.00255985
48896,0.0025514
49152,0.00254262
49408,0.00253258
49664,0.00252407
49920,0.00251241
50176,0.00250563
50432,0.00249826
50688,0.0024905
50944,0.00248016
51200,0.0024657
51456,0.00245693
51712,0.00244812
51968,0.00232921
52224,0.00230941
52480,0.0023017
52736,0.00229376
52992,0.00228596
53248,0.00228031
53504,0.00227261
53760,0.00226574
54016,0.00225755
54272,0.00225183
54528,0.00224678
54784,0.00224128
55040,0.00223293
55296,0.00222618
55552,0.00222037
55808,0.00221325
56064,0.00220705
56320,0.00220132
56576,0.00219603
56832,0.00219045
57088,0.00218542
57344,0.00217426
57600,0.00216835
57856,0.00216193
58112,0.00215595
58368,0.00214899
58624,0.0021413
58880,0.00213541
59136,0.00212944
59392,0.00211853
59648,0.00211369
59904,0.00210693
60160,0.00209794
60416,0.00209177
60672,0.00208526
60928,0.00207821
61184,0.0020734
61440,0.00206543
61696,0.00205935
61952,0.00205535
62208,0.00205137
62464,0.00204743
62720,0.00204304
62976,0.00203899
63232,0.00203646
63488,0.00203329
63744,0.00202931
64000,0.00202334
64256,0.0020177
64512,0.00201408
64768,0.00201008
65024,0.00200515
65280,0.00200032
65536,0.00199525
65792,0.00199011
66048,0.00198716
66304,0.0019842
66560,0.00197703
66816,0.00197374
67072,0.00196882
67328,0.00196225
67584,0.00195803
67840,0.00195284
68096,0.00194719
68352,0.00194173
68608,0.00193671
68864,0.00193242
69120,0.00192919
69376,0.00192192
69632,0.00191842
69888,0.00191649
70144,0.00191337
70400,0.00190973
70656,0.00190478
70912,0.00190028
71168,0.00189649
71424,0.00189357
71680,0.00189088
71936,0.00188832
72192,0.0018851
72448,0.00188032
72704,0.00187545
72960,0.00187106
73216,0.00186754
73472,0.00186438
73728,0.00186252
73984,0.00185999
74240,0.0018563
74496,0.00185395
74752,0.00185209
75008,0.00185024
75264,0.00184711
75520,0.00184378
75776,0.00184103
76032,0.00183953
76288,0.00183803
76544,0.0018367
76800,0.00183367
77056,0.00183051
77312,0.00182873
77568,0.00182442
77824,0.00182142
78080,0.00182043
78336,0.00181827
78592,0.00181513
78848,0.0018124
79104,0.00180901
79360,0.0018054
79616,0.0018023
79872,0.00179942
80128,0.00179618
80384,0.00179186
80640,0.00178936
80896,0.00178479
81152,0.00178209
81408,0.00177915
81664,0.0017754
81920,0.00177104
82176,0.00176755
82432,0.00176508
82688,0.00176271
82944,0.00176036
83200,0.0017558
83456,0.00175377
83712,0.0017506
83968,0.00174751
84224,0.00174448
84480,0.00174091
84736,0.00173859
84992,0.00173538
85248,0.00173143
85504,0.00172948
85760,0.00172573
86016,0.00172284
86272,0.00171924
86528,0.00171577
86784,0.00171369
87040,0.00171059
87296,0.00170789
87552,0.00170505
87808,0.00170211
88064,0.0016993
88320,0.00169737
88576,0.00169433
88832,0.00169095
89088,0.00168812
89344,0.00168591
89600,0.00168336
89856,0.0016806
90112,0.00167677
90368,0.00167392
90624,0.00167263
90880,0.00166945
91136,0.00166794
91392,0.00166498
91648,0.00166071
91904,0.00165709
92160,0.00165311
92416,0.00165062
92672,0.00164809
92928,0.00164367
93184,0.00164018
93440,0.00163704
93696,0.00163479
93952,0.0016315
94208,0.00162876
94464,0.00162611
94720,0.0016236
94976,0.00162171
95232,0.00161953
95488,0.00161767
95744,0.00161462
96000,0.00161269
96256,0.00161114
96512,0.00160943
96768,0.00160753
97024,0.00160626
97280,0.0016035
97536,0.00160071
97792,0.0015986
98048,0.001596
98304,0.00159246
98560,0.00159013
98816,0.00158822
99072,0.00158706
99328,0.0015859
99584,0.00158373
99840,0.00158224
100096,0.00158051
100352,0.00157927
100608,0.0015782
100864,0.0015771
101120,0.0015756
101376,0.00157406
101632,0.00157231
101888,0.00157084
102144,0.00156949
102400,0.00156814
102656,0.00156691
102912,0.00156571
103168,0.00156372
103424,0.00156224
103680,0.00156052
103936,0.00155787
104192,0.00155639
104448,0.00155564
104704,0.00155486
104960,0.00155407
105216,0.00155271
105472,0.00155228
105728,0.00155131
105984,0.00155056
106240,0.00154923
106496,0.00154794
106752,0.00154751
107008,0.00154674
107264,0.00154525
107520,0.00154346
107776,0.00154225
108032,0.00154095
108288,0.00153951
108544,0.00153747
108800,0.00153346
109056,0.0015328
109312,0.00153231
109568,0.00153196
109824,0.00153166
110080,0.00153093
110336,0.00152972
110592,0.0015286
110848,0.00152587
111104,0.00152168
111360,0.00151873
111616,0.00151623
111872,0.00151377
112128,0.00151226
112384,0.00150962
112640,0.00150872
112896,0.00150752
113152,0.0015062
113408,0.00150536
113664,0.00150429
113920,0.00150365
114176,0.00150323
114432,0.00150153
114688,0.00149977
114944,0.00149905
115200,0.00149791
115456,0.00149708
115712,0.00149651
115968,0.00149559
116224,0.0014945
116480,0.00149234
116736,0.00149085
116992,0.00148961
117248,0.00148837
117504,0.00148739
117760,0.00148516
118016,0.00148391
118272,0.00148349
118528,0.00148298
118784,0.00148191
119040,0.00148067
119296,0.00147974
119552,0.00147854
119808,0.00147668
120064,0.00147576
120320,0.00147489
120576,0.00147409
120832,0.00147347
121088,0.00147284
121344,0.00147197
121600,0.00147069
121856,0.00146898
122112,0.00146726
122368,0.0014663
122624,0.00146441
122880,0.00146206
123136,0.00146088
123392,0.00146026
123648,0.00145993
123904,0.00145898
124160,0.00145803
124416,0.00145735
124672,0.00145675
124928,0.00145583
125184,0.00145543
125440,0.0014548
125696,0.00145399
125952,0.00145329
126208,0.00145287
126464,0.00145268
126720,0.00145173
126976,0.00145028
127232,0.00144965
127488,0.00144893
127744,0.0014479
128000,0.00144644
128256,0.00144573
128512,0.00144514
128768,0.00144287
129024,0.00143955
129280,0.00143661
129536,0.00143516
129792,0.00143355
130048,0.0014316
130304,0.0014305
130560,0.00142803
130816,0.00142655
131072,0.00142562
131328,0.00142484
131584,0.00142387
131840,0.00142058
132096,0.00141847
132352,0.00141788
132608,0.0014169
132864,0.00141573
133120,0.00141391
133376,0.00141214
133632,0.00141063
133888,0.00140907
134144,0.00140748
134400,0.00140664
134656,0.00140492
134912,0.00140318
135168,0.00140089
135424,0.00139925
135680,0.00139731
135936,0.00139621
136192,0.00139552
136448,0.00139444
136704,0.00139311
136960,0.0013921
137216,0.00139112
137472,0.00139058
137728,0.00138937
137984,0.00138787
138240,0.00138667
138496,0.00138592
138752,0.0013847
139008,0.00138391
139264,0.00138327
139520,0.00138251
139776,0.00138209
140032,0.00138062
140288,0.00137985
140544,0.00137924
140800,0.00137896
141056,0.0013781
141312,0.00137678
141568,0.00137613
