cache_lines,MRC
256,0.0904414
512,0.0867651
768,0.0787334
1024,0.0777916
1280,0.0742322
1536,0.064995
1792,0.0600736
2048,0.0539118
2304,0.0469196
2560,0.0413083
2816,0.0398537
3072,0.0394145
3328,0.0344256
3584,0.0331406
3840,0.0326197
4096,0.0321371
4352,0.0317523
4608,0.0313152
4864,0.030832
5120,0.0300096
5376,0.0293555
5632,0.0285966
5888,0.027582
6144,0.026863
6400,0.0263242
6656,0.0257421
6912,0.025106
7168,0.0244203
7424,0.0237574
7680,0.0228594
7936,0.0219873
8192,0.0206883
8448,0.017999
8704,0.0169903
8960,0.015808
9216,0.0156134
9472,0.01539
9728,0.0151492
9984,0.0148377
10240,0.0140752
10496,0.0135171
10752,0.013226
11008,0.0129021
11264,0.0125784
11520,0.0122128
11776,0.0119501
12032,0.0117058
12288,0.0115301
12544,0.0114378
12800,0.0112799
13056,0.0111919
13312,0.0111
13568,0.0110205
13824,0.0109268
14080,0.0108144
14336,0.0106727
14592,0.0105223
14848,0.0104169
15104,0.0103297
15360,0.0102246
15616,0.0101551
15872,0.0100937
16128,0.00996752
16384,0.00991795
16640,0.00986743
16896,0.00982255
17152,0.00977635
17408,0.00972976
17664,0.00968628
17920,0.00963372
18176,0.00957918
18432,0.00953652
18688,0.00950208
18944,0.00945864
19200,0.00941827
19456,0.00938299
19712,0.00931859
19968,0.00927783
20224,0.00924013
20480,0.00920623
20736,0.00917116
20992,0.00913259
21248,0.00909508
21504,0.00905304
21760,0.00901157
22016,0.00897485
22272,0.00893129
22528,0.00889622
22784,0.00885633
23040,0.00881778
23296,0.00878327
23552,0.00874622
23808,0.00871379
24064,0.0086858
24320,0.00864718
24576,0.00859031
24832,0.00855053
25088,0.00850607
25344,0.00846006
25600,0.00838833
25856,0.00834255
26112,0.00827971
26368,0.00822862
26624,0.00818309
26880,0.00811358
27136,0.00804831
27392,0.00800024
27648,0.00794624
27904,0.00788662
28160,0.00782974
28416,0.00777264
28672,0.00772238
28928,0.00766201
29184,0.00760936
29440,0.00754776
29696,0.00749184
29952,0.00743739
30208,0.00739417
30464,0.00735097
30720,0.00725529
30976,0.00710923
31232,0.00699754
31488,0.00693141
31744,0.00676423
32000,0.00669042
32256,0.00665072
32512,0.00660562
32768,0.00657373
33024,0.00636321
33280,0.00632268
33536,0.00629453
33792,0.00626535
34048,0.00623544
34304,0.0062015
34560,0.00617114
34816,0.00614477
35072,0.00611006
35328,0.0060797
35584,0.00604592
35840,0.00601642
36096,0.00598585
36352,0.00596115
36608,0.00593616
36864,0.00591117
37120,0.00589112
37376,0.00586923
37632,0.00585043
37888,0.00582845
38144,0.00580503
38400,0.00577453
38656,0.00544891
38912,0.0054283
39168,0.00540613
39424,0.00538531
39680,0.0053591
39936,0.00533263
40192,0.0053096
40448,0.00528472
40704,0.00526277
40960,0.00524231
41216,0.0052249
41472,0.0051998
41728,0.00517634
41984,0.00515068
42240,0.00513149
42496,0.00511236
42752,0.00509505
43008,0.00504012
43264,0.00499996
43520,0.00497531
43776,0.00494309
44032,0.00491573
44288,0.0048931
44544,0.0048758
44800,0.00486339
45056,0.00485124
45312,0.0048342
45568,0.00470496
45824,0.00466834
46080,0.00465192
46336,0.00462774
46592,0.00460038
46848,0.00457915
47104,0.00456421
47360,0.00454456
47616,0.00453229
47872,0.00451602
48128,0.00449689
48384,0.00447378
48640,0.00446215
48896,0.00444753
49152,0.00443392
49408,0.00441635
