cache_lines,MRC
256,0.131053
512,0.123513
768,0.115013
1024,0.11252
1280,0.0978951
1536,0.0904478
1792,0.0810601
2048,0.0695145
2304,0.0627641
2560,0.0617015
2816,0.0536709
3072,0.0501263
3328,0.0490406
3584,0.0480483
3840,0.0471934
4096,0.0463936
4352,0.044638
4608,0.0433805
4864,0.0418932
5120,0.0405088
5376,0.0395253
5632,0.0385617
5888,0.0376785
6144,0.0368103
6400,0.0359875
6656,0.0349114
6912,0.0336485
7168,0.0296529
7424,0.0283138
7680,0.0261044
7936,0.0253506
8192,0.0249126
8448,0.0245065
8704,0.0240284
8960,0.0230488
9216,0.0222858
9472,0.0218612
9728,0.0213151
9984,0.0207545
10240,0.020226
10496,0.0197152
10752,0.0193012
11008,0.0190672
11264,0.0188155
11520,0.0186099
11776,0.0184084
12032,0.0181906
12288,0.017996
12544,0.0177529
12800,0.0174643
13056,0.0171226
13312,0.0168445
13568,0.0166545
13824,0.0164556
14080,0.0163225
14336,0.016114
14592,0.0160103
14848,0.0158759
15104,0.0157635
15360,0.0156311
15616,0.0154977
15872,0.0153971
16128,0.0152759
16384,0.0151616
16640,0.0150482
16896,0.0149335
17152,0.014825
17408,0.0147372
17664,0.0146287
17920,0.0145524
18176,0.0144881
18432,0.0144297
18688,0.0143675
18944,0.0142802
19200,0.0141997
19456,0.0141236
19712,0.0140591
19968,0.013982
20224,0.0139146
20480,0.0138498
20736,0.0137744
20992,0.0137087
21248,0.0136488
21504,0.0135957
21760,0.0135326
22016,0.0134569
22272,0.0133829
22528,0.0133031
22784,0.0132295
23040,0.0131439
23296,0.0130582
23552,0.0129441
23808,0.0128667
24064,0.0127831
24320,0.0126764
24576,0.0125838
24832,0.0124895
25088,0.0123901
25344,0.0122992
25600,0.0122045
25856,0.0121179
26112,0.0120333
26368,0.0119445
26624,0.0118847
26880,0.0118156
27136,0.0117555
27392,0.0116863
27648,0.0115046
27904,0.0113095
28160,0.0111787
28416,0.0109922
28672,0.0108132
28928,0.0107403
29184,0.0106664
29440,0.0106298
29696,0.0102931
29952,0.0102306
30208,0.0101745
30464,0.0101287
30720,0.0100734
30976,0.0100263
31232,0.00997791
31488,0.00992497
31744,0.00988122
32000,0.00984592
32256,0.00980207
32512,0.00975507
32768,0.00971549
33024,0.00967964
33280,0.00964216
33536,0.00960485
33792,0.00956484
34048,0.00952246
34304,0.00948885
34560,0.00944434
34816,0.00919752
35072,0.00894389
35328,0.0089026
35584,0.00885814
35840,0.00882534
36096,0.00877961
36352,0.00874142
36608,0.00870563
36864,0.0086636
37120,0.00863539
37376,0.0085937
37632,0.00856779
37888,0.00854007
38144,0.0085101
38400,0.00848294
38656,0.00845098
38912,0.00840812
39168,0.00831004
39424,0.00823676
39680,0.00820083
39936,0.00814091
40192,0.00811697
40448,0.00809299
40704,0.00806803
40960,0.00804354
41216,0.00802322
41472,0.00797913
41728,0.00780365
41984,0.00776558
42240,0.00772446
42496,0.00766239
42752,0.00761786
43008,0.00759238
43264,0.00756701
43520,0.00753677
43776,0.00751563
44032,0.00747255
44288,0.0074272
44544,0.00740431
44800,0.0073805
45056,0.00734681
45312,0.00731894
45568,0.00708342
45824,0.00703817
46080,0.00701815
46336,0.00699274
46592,0.00696572
46848,0.0069458
47104,0.00693637
47360,0.0069157
47616,0.00690083
47872,0.00688091
48128,0.00685995
48384,0.00682719
48640,0.00680595
48896,0.00678809
49152,0.00676903
49408,0.0067525
49664,0.00673725
49920,0.00671496
50176,0.00669379
50432,0.00667821
50688,0.00665797
50944,0.00663653
51200,0.0066087
51456,0.00655751
51712,0.00652779
51968,0.00650785
52224,0.00649191
52480,0.00647285
52736,0.00645287
52992,0.0064197
53248,0.00637594
53504,0.00636128
53760,0.00634368
54016,0.00632053
54272,0.00630657
54528,0.00629304
54784,0.00627809
55040,0.00626535
55296,0.00624067
55552,0.00622694
55808,0.00620881
56064,0.00619066
56320,0.00617779
56576,0.00616363
56832,0.00615177
57088,0.00613914
57344,0.00611996
57600,0.00610147
57856,0.00608317
58112,0.00606924
58368,0.00605503
58624,0.00604662
58880,0.0060343
59136,0.00601853
59392,0.00600262
59648,0.00598106
59904,0.00596725
60160,0.00595282
60416,0.00593732
60672,0.0059267
60928,0.00591018
61184,0.00588901
61440,0.00584582
61696,0.00582857
61952,0.00580598
62208,0.00578915
62464,0.00576942
62720,0.00575351
62976,0.00573633
63232,0.00571554
63488,0.00570099
63744,0.00568961
64000,0.00567812
64256,0.00566827
64512,0.0056586
64768,0.00564326
65024,0.00562288
65280,0.00560856
65536,0.00559604
65792,0.00558666
66048,0.00557556
