reuse_time,counts
1,2445712
2,175640
3,91309
4,77817
5,47248
6,43018
7,21463
8,29859
9,29521
10,18954
11,26341
12,18495
13,18135
14,12546
15,6364
16,9469
17,11604
18,9778
19,6031
20,5815
21,4761
22,4976
23,5690
24,6810
25,9439
26,12604
27,3890
28,3413
29,3205
30,4071
31,3137
32,2874
33,2316
34,3375
35,2333
36,3605
37,2083
38,2058
39,2514
40,2330
41,3333
42,2166
43,2814
44,2831
45,1638
46,1713
47,1699
48,2096
49,1890
50,1546
51,1985
52,1782
53,1361
54,1387
55,1488
56,2190
57,1573
58,1146
59,1624
60,1510
61,1321
62,1509
63,1124
64,1596
65,1192
66,1184
67,1087
68,1021
69,1006
70,962
71,1459
72,1487
73,952
74,851
75,1258
76,1709
77,963
78,1007
79,1022
80,844
81,986
82,919
83,973
84,854
85,912
86,948
87,821
88,869
89,986
90,719
91,996
92,736
93,775
94,763
95,716
96,1150
97,1590
98,793
99,731
100,861
101,719
102,680
103,888
104,702
105,631
106,941
107,654
108,760
109,693
110,721
111,759
112,705
113,566
114,709
115,667
116,577
117,623
118,593
119,611
120,591
121,531
122,472
123,534
124,719
125,540
126,543
127,543
128,710
129,522
130,428
131,597
132,492
133,485
134,598
135,548
136,542
137,484
138,498
139,481
140,443
141,481
142,461
143,467
144,345
145,440
146,401
147,394
148,376
149,346
150,356
151,314
152,393
153,347
154,347
155,325
156,305
157,311
158,312
159,311
160,284
161,304
162,324
163,265
164,378
165,304
166,280
167,318
168,301
169,300
170,322
171,276
172,264
173,283
174,248
175,297
176,278
177,279
178,270
179,266
180,257
181,292
182,225
183,277
184,252
185,225
186,252
187,286
188,262
189,251
190,251
191,257
192,232
193,273
194,284
195,233
196,294
197,284
198,238
199,256
200,221
201,251
202,320
203,254
204,292
205,227
206,248
207,222
208,229
209,226
210,231
211,219
212,264
213,232
214,248
215,269
216,200
217,210
218,322
219,320
220,220
221,229
222,265
223,215
224,205
225,267
226,256
227,219
228,237
229,233
230,246
231,197
232,174
233,183
234,192
235,212
236,188
237,205
238,216
239,250
240,246
241,232
242,264
243,264
244,231
245,268
246,343
247,282
248,262
249,254
250,239
251,210
252,221
253,225
254,227
255,184
256,196
258,381
260,436
262,334
264,380
266,343
268,352
270,395
272,408
274,477
276,420
278,450
280,378
282,419
284,334
286,333
288,290
290,290
292,272
294,264
296,284
298,248
300,287
302,248
304,270
306,235
308,265
310,250
312,249
314,208
316,246
318,255
320,248
322,268
324,218
326,265
328,228
330,219
332,229
334,240
336,243
338,205
340,215
342,222
344,182
346,205
348,220
350,193
352,203
354,171
356,171
358,177
360,164
362,167
364,157
366,196
368,216
370,177
372,188
374,222
376,203
378,199
380,185
382,179
384,197
386,178
388,182
390,197
392,190
394,218
396,193
398,163
400,184
402,198
404,198
406,172
408,177
410,158
412,184
414,151
416,145
418,170
420,164
422,164
424,187
426,174
428,144
430,146
432,141
434,131
436,134
438,147
440,142
442,110
444,153
446,143
448,148
450,132
452,124
454,143
456,114
458,118
460,117
462,124
464,126
466,94
468,139
470,123
472,116
474,134
476,141
478,127
480,107
482,121
484,108
486,122
488,120
490,123
492,141
494,101
496,111
498,108
500,137
502,144
504,129
506,107
508,128
510,125
512,123
514,122
516,138
518,121
520,119
522,146
524,139
526,140
528,149
530,175
532,141
534,126
536,132
538,145
540,134
542,118
544,177
546,140
548,122
550,145
552,138
554,123
556,138
558,146
560,110
562,107
564,117
566,112
568,120
570,132
572,100
574,123
576,134
578,137
580,104
582,125
584,114
586,129
588,130
590,166
592,126
594,121
596,138
598,143
600,120
602,119
604,141
606,145
608,136
610,137
612,135
614,131
616,121
618,124
620,107
622,122
624,106
626,106
628,106
630,116
632,113
634,109
636,79
638,103
640,94
642,83
644,79
646,85
648,84
650,97
652,92
654,68
656,83
658,87
660,101
662,94
664,81
666,91
668,92
670,88
672,88
674,88
676,73
678,76
680,74
682,69
684,78
686,78
688,62
690,75
692,55
694,72
696,69
698,86
700,71
702,73
704,62
706,68
708,58
710,54
712,64
714,74
716,75
718,60
720,71
722,60
724,65
726,61
728,66
730,65
732,54
734,67
736,77
738,58
740,51
742,48
744,53
746,50
748,43
750,66
752,49
754,58
756,60
758,62
760,66
762,68
764,61
766,61
768,64
772,113
776,124
780,117
784,110
788,104
792,136
796,124
800,136
804,118
808,135
812,104
816,109
820,115
824,114
828,108
832,123
