reuse_time,counts
1,459215
2,25240
3,9435
4,5354
5,10373
6,1834
7,1372
8,1379
9,1295
10,1047
11,1056
12,899
13,765
14,547
15,535
16,427
17,554
18,446
19,429
20,471
21,307
22,347
23,288
24,259
25,242
26,244
27,237
28,194
29,208
30,190
31,164
32,152
33,177
34,169
35,153
36,164
37,136
38,132
39,126
40,133
41,159
42,142
43,133
44,128
45,124
46,138
47,111
48,97
49,107
50,95
51,101
52,117
53,97
54,109
55,87
56,90
57,74
58,88
59,80
60,75
61,70
62,70
63,85
64,70
65,55
66,70
67,76
68,71
69,62
70,89
71,62
72,58
73,70
74,64
75,51
76,74
77,53
78,47
79,46
80,55
81,66
82,49
83,54
84,68
85,52
86,48
87,53
88,37
89,42
90,39
91,32
92,44
93,39
94,37
95,30
96,32
97,38
98,42
99,27
100,33
101,41
102,40
103,37
104,31
105,34
106,34
107,37
108,35
109,34
110,29
111,25
112,37
113,36
114,37
115,28
116,23
117,32
118,26
119,23
120,25
121,23
122,31
123,38
124,34
125,23
126,26
127,128
128,25
129,33
130,22
131,36
132,22
133,19
134,46
135,30
136,31
137,24
138,17
139,33
140,32
141,21
142,28
143,20
144,28
145,16
146,21
147,24
148,22
149,13
150,23
151,16
152,14
153,20
154,18
155,30
156,19
157,15
158,10
159,16
160,16
161,15
162,10
163,16
164,8
165,17
166,13
167,14
168,13
169,12
170,5
171,23
172,13
173,16
174,16
175,13
176,10
177,8
178,16
179,15
180,7
181,10
182,15
183,14
184,11
185,14
186,15
187,17
188,21
189,17
190,12
191,15
192,17
193,17
194,8
195,12
196,12
197,16
198,15
199,12
200,11
201,11
202,17
203,10
204,13
205,9
206,13
207,14
208,15
209,13
210,11
211,10
212,14
213,10
214,15
215,7
216,8
217,16
218,9
219,9
220,9
221,12
222,6
223,9
224,10
225,9
226,14
227,13
228,12
229,13
230,11
231,12
232,10
233,10
234,9
235,10
236,7
237,12
238,4
239,14
240,9
241,8
242,4
243,7
244,11
245,10
246,12
247,11
248,14
249,14
250,9
251,9
252,11
253,10
254,8
255,4
256,9
258,26
260,16
262,14
264,13
266,13
268,21
270,20
272,20
274,13
276,21
278,11
280,29
282,17
284,20
286,22
288,20
290,9
292,12
294,7
296,27
298,14
300,16
302,10
304,18
306,13
308,14
310,11
312,14
314,12
316,19
318,12
320,20
322,12
324,17
326,13
328,12
330,8
332,9
334,12
336,15
338,12
340,6
342,9
344,15
346,16
348,12
350,15
352,10
354,14
356,11
358,7
360,10
362,10
364,9
366,7
368,12
370,17
372,5
374,10
376,5
378,10
380,2
382,8
384,14
386,8
388,13
390,10
392,10
394,8
396,5
398,8
400,6
402,8
404,10
406,8
408,5
410,12
412,5
414,4
416,12
418,5
420,6
422,8
424,7
426,8
428,11
430,6
432,8
434,8
436,7
438,6
440,6
442,7
444,7
446,6
448,10
450,5
452,7
454,4
456,9
458,6
460,7
462,6
464,7
466,7
468,5
470,7
472,6
474,6
476,7
478,3
480,5
482,6
484,3
486,9
488,2
490,4
492,6
494,7
496,7
498,5
500,1
502,6
504,6
506,5
508,0
510,6
512,2
514,7
516,2
518,6
520,4
522,0
524,6
526,4
528,4
530,3
532,5
534,5
536,4
538,5
540,1
542,5
544,3
546,3
548,2
550,6
552,4
554,1
556,6
558,4
560,4
562,5
564,4
566,5
568,5
570,2
572,5
574,0
576,3
578,3
580,1
582,1
584,2
586,3
588,1
590,4
592,0
594,2
596,4
598,4
600,3
602,1
604,0
606,3
608,4
610,0
612,1
614,1
616,1
618,3
620,2
622,0
624,1
626,2
628,1
630,1
632,2
634,2
636,1
638,1
640,2
642,5
644,1
646,2
648,1
650,4
652,0
654,3
656,1
658,4
660,1
662,1
664,4
666,1
668,2
670,7
672,7
674,2
676,2
678,5
680,1
682,3
684,2
686,3
688,2
690,2
692,3
694,4
696,3
698,1
700,0
702,1
704,2
706,2
708,2
710,1
712,1
714,4
716,2
718,5
720,2
722,1
724,1
726,2
728,7
730,2
732,5
734,1
736,2
738,2
740,1
742,1
744,2
746,2
748,1
750,1
752,1
754,2
756,4
758,3
760,2
762,2
764,2
766,2
768,1
772,4
776,2
780,4
784,6
788,5
792,4
796,1
800,8
804,4
808,6
812,5
816,6
820,4
824,1
828,8
832,3
836,5
840,2
844,2
848,3
852,4
856,3
860,4
864,6
868,2
872,3
876,6
880,6
884,6
888,3
892,9
896,2
900,3
904,7
908,3
912,4
916,3
920,2
924,8
928,6
932,2
936,4
940,11
944,2
948,3
952,3
956,3
960,8
964,2
968,3
972,3
976,3
980,5
984,6
988,1
992,2
996,7
1000,7
1004,2
1008,2
1012,2
1016,3
1020,4
1024,5
1028,3
1032,4
1036,2
1040,4
1044,2
1048,2
1052,5
1056,1
1060,6
1064,4
1068,1
1072,1
1076,3
1080,7
1084,4
1088,6
1092,3
1096,2
1100,2
1104,1
1108,5
1112,5
1116,1
1120,3
1124,4
1128,6
1132,6
1136,3
1140,1
1144,4
1148,4
1152,7
1156,7
1160,2
1164,3
1168,1
1172,3
1176,7
1180,3
1184,3
1188,0
1192,3
1196,3
1200,5
1204,1
1208,8
1212,3
1216,3
1220,4
1224,2
1228,3
1232,5
1236,2
1240,0
1244,2
1248,2
1252,2
1256,3
1260,4
1264,8
1268,4
1272,1
1276,0
1280,6
1284,2
1288,1
1292,0
1296,2
1300,1
1304,2
1308,3
1312,5
1316,4
1320,2
1324,2
1328,5
1332,4
1336,1
1340,1
1344,2
1348,2
1352,5
1356,2
1360,0
1364,1
1368,3
1372,5
1376,3
1380,3
1384,1
1388,1
1392,0
1396,4
