cache_lines,MRC
256,0.0503105
512,0.0480789
768,0.043657
1024,0.0423377
1280,0.0418253
1536,0.0363343
1792,0.033605
2048,0.0312229
2304,0.0281052
2560,0.0249457
2816,0.0224488
3072,0.021949
3328,0.0217783
3584,0.019559
3840,0.018743
4096,0.0184285
4352,0.0181687
4608,0.0179444
4864,0.0177314
5120,0.0175059
5376,0.0172453
5632,0.0169477
5888,0.0166127
6144,0.0162324
6400,0.0156679
6656,0.0153025
6912,0.0149391
7168,0.0145998
7424,0.0142537
7680,0.013859
7936,0.013435
8192,0.0130301
8448,0.0124607
8704,0.011949
8960,0.0111435
9216,0.00954359
9472,0.00881398
9728,0.00814322
9984,0.00788361
10240,0.00780226
10496,0.00769336
10752,0.00755802
11008,0.00716192
11264,0.00668905
11520,0.00653079
11776,0.00639379
12032,0.00623921
12288,0.00608237
12544,0.00601481
12800,0.00594765
13056,0.0058882
13312,0.00583919
13568,0.0057503
13824,0.00571055
14080,0.0056704
14336,0.00563037
14592,0.00558952
14848,0.0055497
15104,0.00550899
15360,0.00547126
15616,0.00542932
15872,0.00539747
16128,0.00536241
16384,0.00532473
16640,0.005298
16896,0.00527608
17152,0.00521383
17408,0.00519247
17664,0.00517276
17920,0.00515409
18176,0.00513126
18432,0.00510804
18688,0.00508705
18944,0.00506905
19200,0.00504557
19456,0.00502402
19712,0.00500748
19968,0.00498274
20224,0.00496208
20480,0.00494474
20736,0.00492503
20992,0.00490082
21248,0.00488237
21504,0.00486605
21760,0.0048492
22016,0.0048296
22272,0.00481288
22528,0.00479087
22784,0.00476693
23040,0.00474485
23296,0.00472985
23552,0.00471184
23808,0.00469187
24064,0.00467125
24320,0.00465142
24576,0.0046346
24832,0.00461936
25088,0.00460155
25344,0.00458649
25600,0.00456683
25856,0.00454068
26112,0.00452164
26368,0.0044973
26624,0.0044716
26880,0.0044446
27136,0.00441356
27392,0.00439053
27648,0.00434922
27904,0.00432153
28160,0.00429335
28416,0.00425727
28672,0.00422694
28928,0.00419787
29184,0.00416651
29440,0.00413507
29696,0.00410222
29952,0.00406629
30208,0.00403968
30464,0.00400919
30720,0.00398475
30976,0.00395866
31232,0.00393253
31488,0.00390455
31744,0.00387834
32000,0.0038569
32256,0.00383426
32512,0.00375038
32768,0.00368855
33024,0.00363514
33280,0.00357465
33536,0.00348348
33792,0.00344007
34048,0.00341796
34304,0.00339409
34560,0.00338149
34816,0.00327771
35072,0.00325559
35328,0.00323566
35584,0.00321826
35840,0.00319813
36096,0.00318219
36352,0.00316477
36608,0.00314957
36864,0.00313225
37120,0.00311688
37376,0.003101
37632,0.00308591
37888,0.00306912
38144,0.00305173
38400,0.0030369
38656,0.00302109
38912,0.00300763
39168,0.00299473
39424,0.00298446
39680,0.00297054
39936,0.00295806
40192,0.00294945
40448,0.00287441
40704,0.00279518
40960,0.00278321
41216,0.00277345
41472,0.00276138
41728,0.00275022
41984,0.00273502
42240,0.00272433
42496,0.0027109
42752,0.00270193
43008,0.0026895
43264,0.00267711
43520,0.00266489
43776,0.00265324
44032,0.0026446
44288,0.00263274
44544,0.00262248
44800,0.00261185
45056,0.00257992
45312,0.00255995
45568,0.00254977
45824,0.00253477
46080,0.0025179
46336,0.00250912
46592,0.00249985
46848,0.00249187
47104,0.00248331
47360,0.0024758
47616,0.00242423
47872,0.00239799
48128,0.00238812
48384,0.00237568
48640,0.00235923
48896,0.00235055
49152,0.00233983
49408,0.00233074
49664,0.00232215
49920,0.00231303
50176,0.00230264
50432,0.00229374
50688,0.00228579
50944,0.0022789
51200,0.00227
51456,0.00226343
51712,0.00225584
51968,0.00224645
52224,0.00213392
52480,0.00211817
52736,0.0021118
52992,0.00210547
53248,0.00209831
53504,0.00209224
53760,0.0020853
54016,0.00207958
54272,0.00207426
54528,0.00206623
54784,0.00206174
55040,0.00205536
55296,0.0020485
55552,0.00204356
55808,0.00203593
56064,0.00202871
56320,0.00202082
56576,0.00201553
56832,0.00201023
57088,0.00200368
57344,0.00199627
57600,0.00198934
57856,0.0019827
58112,0.00197769
58368,0.00197207
58624,0.00196645
58880,0.0019611
59136,0.00195438
59392,0.00194892
59648,0.00194353
59904,0.00193534
60160,0.00192442
60416,0.00191889
60672,0.00191283
60928,0.00190877
61184,0.00190373
61440,0.00189823
61696,0.00189154
61952,0.00188696
62208,0.00188238
62464,0.00187829
62720,0.00187386
62976,0.00186715
63232,0.00186364
63488,0.00186033
63744,0.00185607
64000,0.00185209
64256,0.00184793
64512,0.00184314
64768,0.00183852
65024,0.00183432
65280,0.00183084
65536,0.00182594
65792,0.00182021
66048,0.00181473
66304,0.00181046
66560,0.00180821
66816,0.00180327
67072,0.00179763
67328,0.00179482
67584,0.00179136
67840,0.00178756
68096,0.00178342
68352,0.00177922
68608,0.00177481
68864,0.00176956
69120,0.00176448
69376,0.00175845
69632,0.0017537
69888,0.00174993
70144,0.00174489
70400,0.00174073
70656,0.00173663
70912,0.00173181
71168,0.0017283
71424,0.00172672
71680,0.0017224
71936,0.00172056
72192,0.00171746
72448,0.00171434
72704,0.0017115
72960,0.00170815
73216,0.00170556
73472,0.00170396
73728,0.00170097
73984,0.00169752
74240,0.0016945
74496,0.00169128
74752,0.00168789
75008,0.00168523
75264,0.00168172
75520,0.00167912
75776,0.00167858
76032,0.00167617
76288,0.00167139
76544,0.00166848
76800,0.0016661
77056,0.00166318
77312,0.00166029
77568,0.00165862
77824,0.0016567
78080,0.00165463
78336,0.00165286
78592,0.00165124
78848,0.00164817
79104,0.00164546
79360,0.00164315
79616,0.0016396
79872,0.00163722
80128,0.00163568
80384,0.00163414
80640,0.00163166
80896,0.0016295
81152,0.00162717
81408,0.001625
81664,0.00162208
81920,0.00161962
82176,0.00161608
82432,0.00161296
82688,0.00160913
82944,0.00160634
83200,0.00160303
83456,0.00160083
83712,0.00159834
83968,0.00159685
84224,0.00159461
84480,0.00159238
84736,0.00159034
84992,0.00158812
85248,0.00158588
85504,0.00158368
85760,0.00158201
86016,0.00157942
86272,0.00157832
86528,0.00157525
86784,0.00157215
87040,0.00157057
87296,0.00156801
87552,0.00156479
87808,0.00156167
88064,0.00155812
88320,0.00155457
88576,0.00155146
88832,0.00154947
89088,0.00154598
89344,0.001543
89600,0.00153966
89856,0.00153656
90112,0.00153306
90368,0.00152962
90624,0.00152755
90880,0.00152372
91136,0.00152143
91392,0.00151933
91648,0.00151601
91904,0.00151329
92160,0.00151065
92416,0.00150777
92672,0.00150491
92928,0.0015026
93184,0.00149984
93440,0.0014977
93696,0.00149467
93952,0.00149059
94208,0.00148666
94464,0.00148236
94720,0.00147886
94976,0.00147598
95232,0.00147371
95488,0.00147066
95744,0.00146812
96000,0.00146563
96256,0.00146389
96512,0.0014621
96768,0.00146075
97024,0.00145971
97280,0.00145827
97536,0.00145724
97792,0.00145542
98048,0.00145407
98304,0.00145231
98560,0.00145066
98816,0.0014484
99072,0.0014478
99328,0.00144649
99584,0.00144502
99840,0.00144402
100096,0.00144257
100352,0.00144151
100608,0.00143987
100864,0.001438
101120,0.00143695
101376,0.00143506
101632,0.0014336
101888,0.00143183
102144,0.00142938
102400,0.00142826
102656,0.00142714
102912,0.00142544
103168,0.00142435
103424,0.00142294
103680,0.00142205
103936,0.00142081
104192,0.00142031
104448,0.00141917
104704,0.0014185
104960,0.00141714
105216,0.00141615
105472,0.00141449
105728,0.0014133
105984,0.00141218
106240,0.00141099
106496,0.00141016
106752,0.00140896
